date,site_id,lat,lon,method,pf_depth,thaw_depth,pf_observed,source,obs_limit
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,29.0,29.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,29.0,29.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,34.0,34.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,35.0,35.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,31.0,31.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,37.0,37.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,37.0,37.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,37.0,37.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,35.0,35.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,37.0,37.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,,,0,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,31.0,31.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,31.0,31.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,39.0,39.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,,,0,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,,,0,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,,,0,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,48.0,48.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,55.0,55.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,51.0,51.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,55.0,55.0,1,Brown_etal_2000_calm,
