site_id,bonnaventure_point_type,pf_observed,lat,lon,source,date,pf_depth,thaw_depth,obs_limit,method,bonnaventure_published_site_count,bonnaventure_shared_site_count,bonnaventure_protocol_limit_cm,quality_flag_obs_limit_assumed,quality_flag_upper_bound_presence,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_model_or_estimate
PP56,WPT,1,63.16072402,-117.170342,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP57,WPT,0,63.16288797,-117.168738,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP58,WPT,0,63.16874801,-117.143703,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP59,WPT,1,63.16852304,-117.144793,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP6,WPT,1,63.15066297,-117.258328,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP60,WPT,1,63.16813203,-117.14634,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP61,WPT,1,63.16818701,-117.1463,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP62,WPT,0,63.16840704,-117.146488,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP63,WPT,0,63.16731504,-117.136834,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP64,WPT,1,63.16840301,-117.136347,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP65,WPT,0,63.16602498,-117.143103,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP66,WPT,1,63.16675404,-117.143638,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP67,WPT,0,63.162303,-117.195969,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP68,WPT,1,63.16488496,-117.215995,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP69,WPT,1,63.16645497,-117.219209,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP7,WPT,1,63.15012803,-117.260506,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP70,WPT,1,63.16573002,-117.21775,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP71,WPT,0,63.165669,-117.216599,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP72,WPT,0,63.16519903,-117.214722,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP73,WPT,1,63.16405197,-117.213557,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP74,WPT,0,63.16330899,-117.21343,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP75,WPT,1,63.16321797,-117.21042,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP77,WPT,1,63.15121299,-117.251071,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP78,WPT,1,63.15105398,-117.251715,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP79,WPT,1,63.15066498,-117.251556,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP8,WPT,1,63.14936997,-117.261782,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP80,WPT,1,63.15069297,-117.252307,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP81,WPT,1,63.15070596,-117.253536,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP82,WPT,1,63.15063799,-117.254148,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP83,WPT,1,63.15034898,-117.25485,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP84,WPT,1,63.150065,-117.255148,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP85,WPT,1,63.14975596,-117.255001,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP86,WPT,1,63.14952202,-117.254517,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP87,WPT,0,63.14925598,-117.253756,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP88,WPT,1,63.14217101,-117.249367,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP89,WPT,1,63.14304097,-117.250139,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP9,WPT,0,63.14853002,-117.262681,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP90,WPT,1,63.14351102,-117.25156,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP91,WPT,1,63.14387999,-117.252931,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
