date,thaw_depth,pf_depth,obs_limit,pf_observed,transect_name,transect_point,lon,lat,source,site_id,method
2020-08-15,34.0,34.0,120,1,JS,138,-148.42217359502772,70.2291226185112,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,139,-148.4221992830569,70.22912484737543,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,46.0,46.0,120,1,JS,140,-148.4222249710916,70.22912707623594,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,47.0,47.0,120,1,JS,141,-148.42225065913183,70.22912930509283,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,51.0,51.0,120,1,JS,142,-148.42227634717761,70.22913153394599,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,62.0,62.0,120,1,JS,143,-148.42230203522888,70.2291337627955,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,61.0,61.0,120,1,JS,144,-148.42232772328572,70.22913599164134,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,53.0,53.0,120,1,JS,145,-148.42235341134804,70.2291382204835,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,51.0,51.0,120,1,JS,146,-148.4223790994159,70.22914044932196,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,147,-148.4224047874893,70.22914267815678,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,60.0,60.0,120,1,JS,148,-148.42243047556823,70.22914490698793,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,61.0,61.0,120,1,JS,149,-148.4224561636527,70.22914713581535,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,150,-148.42248185174265,70.22914936463916,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,53.0,53.0,120,1,JS,151,-148.42250753983814,70.22915159345928,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,51.0,51.0,120,1,JS,152,-148.42253322793914,70.22915382227569,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,153,-148.42255891604572,70.22915605108845,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,52.0,52.0,120,1,JS,154,-148.42258460415778,70.22915827989753,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,155,-148.42261029227538,70.22916050870292,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,156,-148.4226359803985,70.22916273750465,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,157,-148.42266166852716,70.22916496630272,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,58.0,58.0,120,1,JS,158,-148.42268735666133,70.22916719509708,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,55.0,55.0,120,1,JS,159,-148.42271304480104,70.2291694238878,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,57.0,57.0,120,1,JS,160,-148.42273873294624,70.22917165267484,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,161,-148.422764421097,70.22917388145817,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,48.0,48.0,120,1,JS,162,-148.42279010925327,70.22917611023786,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,55.0,55.0,120,1,JS,163,-148.42281579741507,70.22917833901384,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,62.0,62.0,120,1,JS,164,-148.4228414855824,70.22918056778617,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,165,-148.42286717375524,70.22918279655484,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,166,-148.42289286193363,70.2291850253198,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,167,-148.42291855011754,70.2291872540811,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,49.0,49.0,120,1,JS,168,-148.42294423830697,70.2291894828387,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,51.0,51.0,120,1,JS,169,-148.42296992650193,70.22919171159266,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,44.0,44.0,120,1,JS,170,-148.42299561470242,70.22919394034297,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,60.0,60.0,120,1,JS,171,-148.4230213029084,70.22919616908955,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,46.0,46.0,120,1,JS,172,-148.42304699111995,70.22919839783245,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,52.0,52.0,120,1,JS,173,-148.423072679337,70.22920062657172,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,53.0,53.0,120,1,JS,174,-148.42309836755956,70.22920285530728,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,175,-148.4231240557877,70.22920508403917,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,52.0,52.0,120,1,JS,176,-148.42314974402132,70.22920731276739,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,49.0,49.0,120,1,JS,177,-148.42317543226048,70.22920954149195,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,52.0,52.0,120,1,JS,178,-148.42320112050515,70.2292117702128,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,179,-148.42322680875535,70.22921399893,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,53.0,53.0,120,1,JS,180,-148.4232524970111,70.22921622764352,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,53.0,53.0,120,1,JS,181,-148.42327818527235,70.22921845635337,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,55.0,55.0,120,1,JS,182,-148.4233038735391,70.22922068505953,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,52.0,52.0,120,1,JS,183,-148.42332956181144,70.22922291376202,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,70.0,70.0,120,1,JS,184,-148.4233552500893,70.22922514246083,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,53.0,53.0,120,1,JS,185,-148.42338093837265,70.22922737115599,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,51.0,51.0,120,1,JS,186,-148.42340662666152,70.22922959984744,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,187,-148.42343231495593,70.22923182853523,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,53.0,53.0,120,1,JS,188,-148.4234580032559,70.22923405721936,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,189,-148.42348369156133,70.22923628589977,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,42.0,42.0,120,1,JS,190,-148.42350937987234,70.22923851457656,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,48.0,48.0,120,1,JS,191,-148.42353506818884,70.22924074324965,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,52.0,52.0,120,1,JS,192,-148.42356075651088,70.22924297191904,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,56.0,56.0,120,1,JS,193,-148.42358644483843,70.22924520058478,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,56.0,56.0,120,1,JS,194,-148.4236121331715,70.22924742924685,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,58.0,58.0,120,1,JS,195,-148.42363782151014,70.22924965790523,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,51.0,51.0,120,1,JS,196,-148.42366350985426,70.22925188655996,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,51.0,51.0,120,1,JS,197,-148.42368919820393,70.22925411521098,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,53.0,53.0,120,1,JS,198,-148.4237148865591,70.22925634385835,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,53.0,53.0,120,1,JS,199,-148.42374057491983,70.22925857250205,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,200,-148.42376626328607,70.22926080114203,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,47.0,47.0,120,1,JS,201,-148.42379195165785,70.22926302977837,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,46.0,46.0,120,1,JS,202,-148.42381764003514,70.22926525841102,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,46.0,46.0,120,1,JS,203,-148.42384332841795,70.22926748704,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,204,-148.4238690168063,70.22926971566534,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,52.0,52.0,120,1,JS,205,-148.42389470520015,70.22927194428695,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,206,-148.42392039359956,70.22927417290491,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,53.0,53.0,120,1,JS,207,-148.42394608200445,70.2292764015192,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,52.0,52.0,120,1,JS,208,-148.4239717704149,70.2292786301298,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,55.0,55.0,120,1,JS,209,-148.42399745883088,70.22928085873673,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,210,-148.42402314725237,70.22928308733998,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,46.0,46.0,120,1,JS,211,-148.42404883567937,70.22928531593955,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,42.0,42.0,120,1,JS,212,-148.42407452411192,70.22928754453547,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,41.0,41.0,120,1,JS,213,-148.42410021255,70.2292897731277,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,46.0,46.0,120,1,JS,214,-148.42412590099357,70.22929200171625,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,215,-148.4241515894427,70.22929423030114,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,48.0,48.0,120,1,JS,216,-148.42417727789734,70.22929645888232,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,59.0,59.0,120,1,JS,217,-148.4242029663575,70.22929868745986,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,40.0,40.0,120,1,JS,218,-148.4242286548232,70.22930091603371,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,53.0,53.0,120,1,JS,219,-148.4242543432944,70.22930314460386,Peirce_2020,Peirce_2020_JS,tp
