Study site,Transect,Sample date,Distanc from start (m),Water depth (cm),Thaw depth (cm),Field notes
Joregenson,JS,20200815,191,0,48,
Joregenson,JS,20200815,192,0,52,
Joregenson,JS,20200815,193,0,56,
Joregenson,JS,20200815,194,0,56,
Joregenson,JS,20200815,195,0,58,
Joregenson,JS,20200815,196,0,51,
Joregenson,JS,20200815,197,0,51,
Joregenson,JS,20200815,198,0,53,
Joregenson,JS,20200815,199,0,53,
Joregenson,JS,20200815,200,0,54,
Joregenson,JS,20200815,201,0,47,
Joregenson,JS,20200815,202,0,46,
Joregenson,JS,20200815,203,0,46,
Joregenson,JS,20200815,204,0,50,
Joregenson,JS,20200815,205,0,52,
Joregenson,JS,20200815,206,0,50,
Joregenson,JS,20200815,207,0,53,
Joregenson,JS,20200815,208,0,52,
Joregenson,JS,20200815,209,0,55,
Joregenson,JS,20200815,210,0,54,
Joregenson,JS,20200815,211,0,46,
Joregenson,JS,20200815,212,0,42,
Joregenson,JS,20200815,213,0,41,
Joregenson,JS,20200815,214,0,46,
Joregenson,JS,20200815,215,0,50,
Joregenson,JS,20200815,216,8,48,water trough 215.9-219.65
Joregenson,JS,20200815,217,21,59,
Joregenson,JS,20200815,218,51,40,
Joregenson,JS,20200815,219,31,53,
Joregenson,JS,20200815,220,0,61,
Joregenson,JS,20200815,221,0,47,
Joregenson,JS,20200815,222,0,42,
Joregenson,JS,20200815,223,0,41,
Joregenson,JS,20200815,224,0,46,
Joregenson,JS,20200815,225,0,46,
Joregenson,JS,20200815,226,0,49,
Joregenson,JS,20200815,227,0,51,
Joregenson,JS,20200815,228,0,49,
Joregenson,JS,20200815,229,0,52,
Joregenson,JS,20200815,230,0,44,
Joregenson,JS,20200815,231,0,40,
Joregenson,JS,20200815,232,0,48,
Joregenson,JS,20200815,233,0,41,
Joregenson,JS,20200815,234,0,53,
Joregenson,JS,20200815,235,0,51,
Joregenson,JS,20200815,236,0,52,
Joregenson,JS,20200815,237,0,53,
Joregenson,JS,20200815,238,0,54,
Joregenson,JS,20200815,239,0,52,
Joregenson,JS,20200815,240,0,53,
Joregenson,JS,20200815,241,0,55,
Joregenson,JS,20200815,242,0,49,
Joregenson,JS,20200815,243,0,45,
Joregenson,JS,20200815,244,0,49,
Joregenson,JS,20200815,245,25,55,water trough 244.9-250.75
Joregenson,JS,20200815,246,58,45,
Joregenson,JS,20200815,247,56,49,
Joregenson,JS,20200815,248,28,57,
Joregenson,JS,20200815,249,23,41,
Joregenson,JS,20200815,250,10,33,
Colleen,T1,20200815,0,0,60,
Colleen,T1,20200815,1,0,45,
Colleen,T1,20200815,2,0,105,
Colleen,T1,20200815,3,0,77,
Colleen,T1,20200815,4,0,60,
Colleen,T1,20200815,5,0,60,
Colleen,T1,20200815,6,0,61,
Colleen,T1,20200815,7,0,61,
Colleen,T1,20200815,8,0,59,
Colleen,T1,20200815,9,0,69,
Colleen,T1,20200815,10,0,68,
Colleen,T1,20200815,11,0,64,
Colleen,T1,20200815,12,0,65,
