lat,lon,date,source,site_id,pf_observed,pf_depth,obs_limit,thaw_depth,method,walker_thaw_depth_raw,distance_m
70.22267852798137,-148.4719747,2021-08-24,Walker_2022,Colleen_T2_39,1,56,,56,tp,56,39
70.22267054150315,-148.4719867,2021-08-24,Walker_2022,Colleen_T2_40,1,53,,53,tp,53,40
70.22266255502412,-148.4719987,2021-08-24,Walker_2022,Colleen_T2_41,1,57,,57,tp,57,41
70.22265456854427,-148.4720107,2021-08-24,Walker_2022,Colleen_T2_42,1,52,,52,tp,52,42
70.22264658206362,-148.4720227,2021-08-24,Walker_2022,Colleen_T2_43,1,49,,49,tp,49,43
70.22263859558217,-148.4720347,2021-08-24,Walker_2022,Colleen_T2_44,1,48,,48,tp,48,44
70.22263060909988,-148.4720468,2021-08-24,Walker_2022,Colleen_T2_45,1,40,,40,tp,40,45
70.22262262,-148.4720588,2021-08-24,Walker_2022,Colleen_T2_46,1,42,,42,tp,42,46
70.22261464,-148.4720708,2021-08-24,Walker_2022,Colleen_T2_47,1,36,,36,tp,36,47
70.22260664964821,-148.4720828,2021-08-24,Walker_2022,Colleen_T2_48,1,50,,50,tp,50,48
70.22259866,-148.4720948,2021-08-24,Walker_2022,Colleen_T2_49,1,63,,63,tp,63,49
70.22259067667636,-148.4721069,2021-08-24,Walker_2022,Colleen_T2_50,1,54,,54,tp,54,50
70.22258269018923,-148.4721189,2021-08-24,Walker_2022,Colleen_T2_51,1,51,,51,tp,51,51
70.22257470370128,-148.4721309,2021-08-24,Walker_2022,Colleen_T2_52,1,57,,57,tp,57,52
70.22256671721253,-148.4721429,2021-08-24,Walker_2022,Colleen_T2_53,1,62,,62,tp,62,53
70.22255873072297,-148.4721549,2021-08-24,Walker_2022,Colleen_T2_54,1,59,,59,tp,59,54
70.22255074423259,-148.4721669,2021-08-24,Walker_2022,Colleen_T2_55,1,58,,58,tp,58,55
70.22254275774141,-148.472179,2021-08-24,Walker_2022,Colleen_T2_56,1,58,,58,tp,58,56
70.22253477124941,-148.472191,2021-08-24,Walker_2022,Colleen_T2_57,1,51,,51,tp,51,57
70.22252678,-148.472203,2021-08-24,Walker_2022,Colleen_T2_58,1,56,,56,tp,56,58
70.22251879826298,-148.472215,2021-08-24,Walker_2022,Colleen_T2_59,1,59,,59,tp,59,59
70.22251081176856,-148.472227,2021-08-24,Walker_2022,Colleen_T2_60,1,58,,58,tp,58,60
70.22250282527332,-148.472239,2021-08-24,Walker_2022,Colleen_T2_61,1,58,,58,tp,58,61
70.22249483877727,-148.4722511,2021-08-24,Walker_2022,Colleen_T2_62,1,55,,55,tp,55,62
70.22248685228041,-148.4722631,2021-08-24,Walker_2022,Colleen_T2_63,1,53,,53,tp,53,63
70.22247886578275,-148.4722751,2021-08-24,Walker_2022,Colleen_T2_64,1,50,,50,tp,50,64
70.22247087928426,-148.4722871,2021-08-24,Walker_2022,Colleen_T2_65,1,46,,46,tp,46,65
70.22246289278497,-148.4722991,2021-08-24,Walker_2022,Colleen_T2_66,1,46,,46,tp,46,66
70.22245490628488,-148.4723111,2021-08-24,Walker_2022,Colleen_T2_67,1,55,,55,tp,55,67
70.22244691978398,-148.4723232,2021-08-24,Walker_2022,Colleen_T2_68,1,66,,66,tp,66,68
70.22243893328225,-148.4723352,2021-08-24,Walker_2022,Colleen_T2_69,1,53,,53,tp,53,69
70.22243094677972,-148.4723472,2021-08-24,Walker_2022,Colleen_T2_70,1,55,,55,tp,55,70
70.22242296027638,-148.4723592,2021-08-24,Walker_2022,Colleen_T2_71,1,60,,60,tp,60,71
70.22241497377223,-148.4723712,2021-08-24,Walker_2022,Colleen_T2_72,1,61,,61,tp,61,72
70.22240698726728,-148.4723832,2021-08-24,Walker_2022,Colleen_T2_73,1,56,,56,tp,56,73
70.222399,-148.4723953,2021-08-24,Walker_2022,Colleen_T2_74,1,52,,52,tp,52,74
70.22239101425492,-148.4724073,2021-08-24,Walker_2022,Colleen_T2_75,1,54,,54,tp,54,75
70.22238302774753,-148.4724193,2021-08-24,Walker_2022,Colleen_T2_76,1,49,,49,tp,49,76
70.22237504123933,-148.4724313,2021-08-24,Walker_2022,Colleen_T2_77,1,48,,48,tp,48,77
70.22236705473031,-148.4724433,2021-08-24,Walker_2022,Colleen_T2_78,1,48,,48,tp,48,78
70.22235907,-148.4724553,2021-08-24,Walker_2022,Colleen_T2_79,1,50,,50,tp,50,79
70.22235108170986,-148.4724673,2021-08-24,Walker_2022,Colleen_T2_80,1,50,,50,tp,50,80
70.22234309519841,-148.4724794,2021-08-24,Walker_2022,Colleen_T2_81,1,47,,47,tp,47,81
