date,site,stake,depth,flag,hit_type,crew,notes
9/15/2004,SL1B,7,66,G,,,
9/15/2004,SL1B,8,65,G,,,
9/15/2004,SL1B,9,82,G,,,
9/15/2004,SL1B,10,75,G,,,
9/15/2004,SL1B,11,65,G,,,
9/15/2004,SL1B,12,92,G,,,
9/15/2004,SL1B,13,85,G,,,
9/15/2004,SL1B,14,60,G,,,
9/15/2004,SL1B,15,65,G,,,
9/15/2004,SL1B,16,95,G,,,
9/15/2004,SL1B,17,68,G,,,
9/15/2004,SL1B,18,72,G,,,
9/15/2004,SL1B,19,65,G,,,
9/15/2004,SL1B,20,120,G,,,
9/12/2005,SL1B,1,90,G,,,
9/12/2005,SL1B,2,54,G,,,
9/12/2005,SL1B,3,53,G,,,
9/12/2005,SL1B,4,77,G,,,
9/12/2005,SL1B,5,81,G,,,
9/12/2005,SL1B,6,65,G,,,
9/12/2005,SL1B,7,83,G,,,
9/12/2005,SL1B,8,62,G,,,
9/12/2005,SL1B,9,87,G,,,
9/12/2005,SL1B,10,68,G,,,
9/12/2005,SL1B,11,72,G,,,
9/12/2005,SL1B,12,76,G,,,
9/12/2005,SL1B,13,88,G,,,
9/12/2005,SL1B,14,63,G,,,
9/12/2005,SL1B,15,82,G,,,
9/12/2005,SL1B,16,78,G,,,
9/12/2005,SL1B,17,76,G,,,
9/12/2005,SL1B,18,76,G,,,
9/12/2005,SL1B,19,71,G,,,
9/12/2005,SL1B,20,135,G,,,
9/11/2006,SL1B,1,89,G,,,
9/11/2006,SL1B,2,61,G,,,
9/11/2006,SL1B,3,65,G,,,
9/11/2006,SL1B,4,66,G,,,
9/11/2006,SL1B,5,65,G,,,
9/11/2006,SL1B,6,83,G,,,
9/11/2006,SL1B,7,69,G,,,
9/11/2006,SL1B,8,67,G,,,
9/11/2006,SL1B,9,92,G,,,
9/11/2006,SL1B,10,60,G,,,
9/11/2006,SL1B,11,66,G,,,
9/11/2006,SL1B,12,78,G,,,
9/11/2006,SL1B,13,73,G,,,
9/11/2006,SL1B,14,69,G,,,
9/11/2006,SL1B,15,63,G,,,
9/11/2006,SL1B,16,76,G,,,
9/11/2006,SL1B,17,57,G,,,
9/11/2006,SL1B,18,65,G,,,
9/11/2006,SL1B,19,69,G,,,
9/11/2006,SL1B,20,97,G,,,
9/19/2007,SL1B,1,75,G,,,
9/19/2007,SL1B,2,65,G,,,
9/19/2007,SL1B,3,95,G,,,
9/19/2007,SL1B,4,69,G,,,
9/19/2007,SL1B,5,61,G,,,
9/19/2007,SL1B,6,68,G,,,
9/19/2007,SL1B,7,87,G,,,
9/19/2007,SL1B,8,44,G,,,
