site_id,date,lat,lon,thaw_depth,method,source,quality_flag_date_assigned,gpr_native_count,gpr_aggregation_spacing_m,quality_flag_summary_statistic,pf_observed,pf_depth,obs_limit
BS,2013-08-12,71.25341546666667,-156.55156266666665,41.45955333333334,gp,Jafarov_2016,True,15,5.0,True,1,41.45955333333334,
BS,2013-08-12,71.253371,-156.55155416666668,40.960208333333334,gp,Jafarov_2016,True,12,5.0,True,1,40.960208333333334,
BS,2013-08-12,71.25332691666667,-156.55155158333335,41.410075,gp,Jafarov_2016,True,12,5.0,True,1,41.410075,
BS,2013-08-12,71.25329011111111,-156.55154466666667,41.62748888888889,gp,Jafarov_2016,True,9,5.0,True,1,41.62748888888889,
BS,2013-08-12,71.25326733333334,-156.551536,40.9377,gp,Jafarov_2016,True,3,5.0,True,1,40.9377,
BS,2013-08-12,71.25323976190477,-156.5515324761905,40.44926666666667,gp,Jafarov_2016,True,21,5.0,True,1,40.44926666666667,
BS,2013-08-12,71.25323833333333,-156.5515526111111,40.15792777777778,gp,Jafarov_2016,True,18,5.0,True,1,40.15792777777778,
BS,2013-08-12,71.25319106666666,-156.5515374,40.793760000000006,gp,Jafarov_2016,True,15,5.0,True,1,40.793760000000006,
BS,2013-08-12,71.25314664285715,-156.55152621428573,40.6228,gp,Jafarov_2016,True,14,5.0,True,1,40.6228,
BS,2013-08-12,71.25310400000001,-156.55151535294118,38.4078705882353,gp,Jafarov_2016,True,17,5.0,True,1,38.4078705882353,
BS,2013-08-12,71.25305766666666,-156.55150940000001,38.436479999999996,gp,Jafarov_2016,True,15,5.0,True,1,38.436479999999996,
BS,2013-08-12,71.25301185714285,-156.55151871428572,39.62025,gp,Jafarov_2016,True,14,5.0,True,1,39.62025,
BS,2013-08-12,71.25296988235294,-156.55153452941178,42.52017647058824,gp,Jafarov_2016,True,17,5.0,True,1,42.52017647058824,
BS,2013-08-12,71.25292370588235,-156.55154335294117,40.249688235294116,gp,Jafarov_2016,True,17,5.0,True,1,40.249688235294116,
BS,2013-08-12,71.25287396,-156.55153428,38.965508,gp,Jafarov_2016,True,25,5.0,True,1,38.965508,
BS,2013-08-12,71.2528330625,-156.55153906249998,41.0782875,gp,Jafarov_2016,True,16,5.0,True,1,41.0782875,
BS,2013-08-12,71.25278116455696,-156.55153174683545,39.01524936708861,gp,Jafarov_2016,True,79,5.0,True,1,39.01524936708861,
BS,2013-08-12,71.25274226666667,-156.55153346666665,41.18964666666667,gp,Jafarov_2016,True,15,5.0,True,1,41.18964666666667,
