File name: prb_gpr_alt_hd.csv,,,,,,,,,,,,,,
Missing value code: Missing data are represented as -999,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
site_ID,lat_prb,lon_prb,alt_prb,unc_alt_prb,lat_gpr,lon_gpr,owtt,velocity,unc_vel,cv_vel,alt_gpr,unc_alt_gpr,vwc,unc_vwc
,,,m,m,,,ns,m/ns,m/ns,m/ns,m,m,,
CP_HD_1,71.273754,-156.63853,0.32,0.03,71.273812,-156.63795,8.037031,0.039816,0.006824,0.202004,0.323761,0.065401,0.665108,0.134354
CP_HD_1,71.273759,-156.638511,0.34,0.03,71.273812,-156.63795,7.394068,0.045983,0.007882,0.202004,0.29786,0.060169,0.568344,0.114808
CP_HD_1,71.273767,-156.638492,0.37,0.03,71.273812,-156.63795,7.072587,0.052315,0.008967,0.202004,0.28491,0.057553,0.49151,0.099287
CP_HD_1,71.273769,-156.638473,0.37,0.03,71.273812,-156.63795,7.112772,0.052019,0.008916,0.202004,0.286528,0.05788,0.494844,0.099961
CP_HD_1,71.273773,-156.638454,0.29,0.03,71.273812,-156.63795,6.911846,0.041957,0.007192,0.202004,0.278434,0.056245,0.626825,0.126621
CP_HD_1,71.273773,-156.638436,0.33,0.03,71.273812,-156.63795,6.771198,0.048736,0.008353,0.202004,0.272769,0.0551,0.533409,0.107751
CP_HD_1,71.273775,-156.638417,0.3,0.03,71.273812,-156.63795,6.563575,0.045707,0.007834,0.202004,0.264405,0.053411,0.572017,0.11555
CP_HD_1,71.273776,-156.638398,0.3,0.03,71.273812,-156.63795,6.429625,-999,-999,0.202004,0.259009,-999,-999,-999
CP_HD_1,71.273777,-156.638379,0.29,0.03,71.273812,-156.63795,6.389439,0.045387,0.007779,0.202004,0.25739,0.051994,0.576315,0.116418
CP_HD_1,71.273779,-156.63836,0.3,0.03,71.273812,-156.63795,6.349254,0.04725,0.008099,0.202004,0.255771,0.051667,0.551915,0.111489
CP_HD_1,71.273779,-156.638341,0.3,0.03,71.273812,-156.63795,6.349254,0.04725,0.008099,0.202004,0.255771,0.051667,0.551915,0.111489
CP_HD_1,71.273782,-156.638322,0.32,0.03,71.273812,-156.63795,6.55018,0.048854,0.008374,0.202004,0.263865,0.053302,0.531973,0.107461
CP_HD_1,71.273784,-156.638303,0.43,0.03,71.273812,-156.63795,7.072587,0.060798,0.010421,0.202004,0.28491,0.057553,0.404392,0.081689
CP_HD_1,71.273784,-156.638284,0.46,0.03,71.273812,-156.63795,7.554809,0.060888,0.010436,0.202004,0.304335,0.061477,0.403551,0.081519
CP_HD_1,71.273787,-156.638266,0.34,0.03,71.273812,-156.63795,7.715549,0.044067,0.007553,0.202004,0.31081,0.062785,0.594695,0.120131
CP_HD_1,71.27379,-156.638247,0.3,0.03,71.273812,-156.63795,7.514623,0.039922,0.006843,0.202004,0.302716,0.06115,0.66301,0.133931
CP_HD_1,71.27379,-156.638228,0.33,0.03,71.273812,-156.63795,6.791291,0.048592,0.008329,0.202004,0.273578,0.055264,0.535172,0.108107
CP_HD_1,71.273792,-156.638209,0.43,0.03,71.273812,-156.63795,6.710921,0.064075,0.010983,0.202004,0.27034,0.05461,0.375009,0.075753
CP_HD_1,71.27379,-156.63819,0.37,0.03,71.273812,-156.63795,6.670736,0.055466,0.009507,0.202004,0.268722,0.054283,0.457241,0.092365
CP_HD_1,71.273791,-156.638171,0.38,0.03,71.273812,-156.63795,6.349254,0.05985,0.010258,0.202004,0.255771,0.051667,0.413332,0.083495
CP_HD_1,71.273791,-156.638152,0.38,0.03,71.273812,-156.63795,6.188514,0.061404,0.010525,0.202004,0.249296,0.050359,0.398783,0.080556
CP_HD_1,71.273791,-156.638133,0.33,0.03,71.273812,-156.63795,6.992216,0.047195,0.008089,0.202004,0.281672,0.056899,0.552606,0.111629
CP_HD_1,71.273787,-156.638114,0.37,0.03,71.273812,-156.63795,7.072587,0.052315,0.008967,0.202004,0.28491,0.057553,0.49151,0.099287
CP_HD_1,71.273787,-156.638096,0.36,0.03,71.273812,-156.63795,7.032402,0.051192,0.008774,0.202004,0.283291,0.057226,0.504295,0.10187
CP_HD_1,71.273789,-156.638077,0.28,0.03,71.273812,-156.63795,7.474438,0.037461,0.006421,0.202004,0.301098,0.060823,0.719588,0.14536
CP_HD_1,71.273789,-156.638058,0.32,0.03,71.273812,-156.63795,8.117401,0.039421,0.006757,0.202004,0.326999,0.066055,0.673099,0.135969
CP_HD_1,71.27379,-156.638039,0.31,0.03,71.273812,-156.63795,9.925733,0.031232,0.005353,0.202004,0.399845,0.08077,-999,-999
CP_HD_1,71.273793,-156.63802,0.28,0.03,71.273812,-156.63795,8.398697,0.033339,0.005714,0.202004,0.33833,0.068344,0.892713,0.180332
CP_HD_1,71.273797,-156.638001,0.32,0.03,71.273812,-156.63795,7.715549,0.041475,0.007109,0.202004,0.31081,0.062785,0.634828,0.128238
CP_HD_1,71.273802,-156.637982,0.29,0.03,71.273812,-156.63795,7.112772,0.040772,0.006988,0.202004,0.286528,0.05788,0.647079,0.130713
CP_HD_1,71.273808,-156.637963,0.23,0.03,71.273812,-156.63795,6.751106,0.034068,0.005839,0.202004,0.271959,0.054937,0.849669,0.171637
CP_HD_1,71.273819,-156.637944,0.32,0.03,71.273812,-156.63795,7.032402,-999,-999,0.202004,0.283291,-999,-999,-999
BS_HD_1,71.261691,-156.617972,0.47,0.03,71.261646,-156.61533,11.52879,0.040768,0.006874,0.160817,0.444905,0.071548,0.647155,0.104074
BS_HD_1,71.26169,-156.617946,0.49,0.03,71.261646,-156.61533,11.581674,0.042308,0.007134,0.160817,0.446946,0.071877,0.621174,0.099895
BS_HD_1,71.261688,-156.617919,0.48,0.03,71.261646,-156.61533,11.634558,0.041256,0.006957,0.160817,0.448987,0.072205,0.638553,0.10269
BS_HD_1,71.261687,-156.617893,0.47,0.03,71.261646,-156.61533,11.52879,0.040768,0.006874,0.160817,0.444905,0.071548,0.647155,0.104074
BS_HD_1,71.261686,-156.617867,0.49,0.03,71.261646,-156.61533,12.460876,-999,-999,0.160817,0.480875,-999,-999,-999
BS_HD_1,71.261684,-156.61784,0.48,0.03,71.261646,-156.61533,12.536551,0.038288,0.006456,0.160817,0.483796,0.077803,0.69839,0.112313
BS_HD_1,71.261683,-156.617814,0.5,0.03,71.261646,-156.61533,12.612224,-999,-999,0.160817,0.486716,-999,-999,-999
BS_HD_1,71.261683,-156.617787,0.5,0.03,71.261646,-156.61533,12.713122,0.039329,0.006632,0.160817,0.49061,0.078898,0.675019,0.108554
BS_HD_1,71.261683,-156.617761,0.54,0.03,71.261646,-156.61533,12.99059,0.041569,0.00701,0.160817,0.501317,0.08062,0.633246,0.101837
BS_HD_1,71.261682,-156.617735,0.48,0.03,71.261646,-156.61533,13.21761,0.036315,0.006124,0.160817,0.510078,0.082029,0.754191,0.121287
BS_HD_1,71.261682,-156.617708,0.49,0.03,71.261646,-156.61533,13.368958,-999,-999,0.160817,0.515919,-999,-999,-999
BS_HD_1,71.26168,-156.617682,0.52,0.03,71.261646,-156.61533,13.368958,0.038896,0.006559,0.160817,0.515919,0.082969,0.684356,0.110056
BS_HD_1,71.261679,-156.617656,0.49,0.03,71.261646,-156.61533,13.394182,0.036583,0.006169,0.160817,0.516892,0.083125,0.745457,0.119882
BS_HD_1,71.261677,-156.617629,0.48,0.03,71.261646,-156.61533,13.44463,0.035702,0.00602,0.160817,0.518839,0.083438,0.775953,0.124786
BS_HD_1,71.261677,-156.617603,0.49,0.03,71.261646,-156.61533,13.469855,0.036378,0.006134,0.160817,0.519813,0.083595,0.752119,0.120953
BS_HD_1,71.261675,-156.617576,0.48,0.03,71.261646,-156.61533,13.419406,0.035769,0.006032,0.160817,0.517866,0.083282,0.773441,0.124382
BS_HD_1,71.261673,-156.61755,0.5,0.03,71.261646,-156.61533,13.368958,0.0374,0.006307,0.160817,0.515919,0.082969,0.721262,0.115991
BS_HD_1,71.261671,-156.617524,0.48,0.03,71.261646,-156.61533,13.268059,0.036177,0.0061,0.160817,0.512025,0.082342,0.758867,0.122039
BS_HD_1,71.26167,-156.617497,0.49,0.03,71.261646,-156.61533,13.066264,0.037501,0.006324,0.160817,0.504238,0.08109,0.718495,0.115546
