site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,method,obs_limit,org_thick,source
JG-SI1,07/27/2018,70.13404,-143.66083,39.0,1,39.0,unknown,60.0,27.0,Jorgenson_Kanevskiy_2022_Jago
JG-DA1,07/29/2018,70.13405,-143.66083,17.0,1,17.0,unknown,60.0,26.0,Jorgenson_Kanevskiy_2022_Jago
JG-DA2,07/29/2018,70.13393,-143.66039,37.0,1,37.0,unknown,91.0,20.0,Jorgenson_Kanevskiy_2022_Jago
JG-DA3,07/29/2011,70.13398,-143.66039,63.0,1,63.0,unknown,63.0,33.0,Jorgenson_Kanevskiy_2022_Jago
JG-DA3,07/31/2016,70.13321,-143.66071,56.0,1,56.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-SI3,07/29/2011,62.48338,-144.7266,55.0,1,55.0,unknown,55.0,21.0,Jorgenson_Kanevskiy_2022_Jago
JG-C04,08/01/2018,62.47992,-144.72378,30.0,1,30.0,unknown,64.0,16.0,Jorgenson_Kanevskiy_2022_Jago
JG-C13,08/01/2018,62.48335,-144.72592,28.0,1,28.0,unknown,67.0,21.0,Jorgenson_Kanevskiy_2022_Jago
JG-C14,08/01/2018,70.15056,-147.18556,37.0,1,37.0,unknown,82.0,26.0,Jorgenson_Kanevskiy_2022_Jago
JG-G10,08/01/2018,70.15667,-147.14,29.0,1,29.0,unknown,60.0,26.0,Jorgenson_Kanevskiy_2022_Jago
JG-C22,08/01/2018,70.12694,-147.00361,30.0,1,30.0,unknown,72.0,22.0,Jorgenson_Kanevskiy_2022_Jago
JG-C24,08/01/2018,70.00944,-147.49,27.0,1,27.0,unknown,69.0,27.0,Jorgenson_Kanevskiy_2022_Jago
JG-C25,07/30/2018,70.015,-147.455,31.0,1,31.0,unknown,522.0,16.0,Jorgenson_Kanevskiy_2022_Jago
JG-C26,08/01/2018,70.03167,-147.29167,23.0,1,23.0,unknown,142.0,22.0,Jorgenson_Kanevskiy_2022_Jago
JG-C50,08/02/2018,70.15167,-147.25833,34.0,1,34.0,unknown,77.0,31.0,Jorgenson_Kanevskiy_2022_Jago
JG-DI2,08/12/2009,70.11833,-147.23333,44.0,1,44.0,unknown,73.0,20.0,Jorgenson_Kanevskiy_2022_Jago
JG-DI3,08/12/2009,70.12194,-147.21167,33.0,1,33.0,unknown,80.0,23.0,Jorgenson_Kanevskiy_2022_Jago
JG-G10,08/03/2011,70.13333,-147.23556,34.0,1,34.0,unknown,34.0,19.0,Jorgenson_Kanevskiy_2022_Jago
JG-C32,07/31/2018,70.14889,-148.13889,32.0,1,32.0,unknown,127.0,18.0,Jorgenson_Kanevskiy_2022_Jago
JG-C33,07/27/2018,70.18056,-148.00556,24.0,1,24.0,unknown,128.0,21.0,Jorgenson_Kanevskiy_2022_Jago
