FID,SiteID,DataType,Date,Lon_WGS84,Lat_WGS84,x_UTMz6N,y_UTMz6N,Altitude,ALT,OLT,Vegetation,Comments,xERT_plan,xERT_true
98,Vault lake,ERT,20210914,-147.6994098,65.02886684,467054.29,7211854.03,229.38,-9999,-9999,-9999,-9999,28,28.14
99,Vault lake,ERT,20210914,-147.6994016,65.02888339,467054.7,7211855.87,229.33,64,-9999,Bl spruce,-9999,30,30.03
100,Vault lake,ERT,20210914,-147.699405,65.02890123,467054.56,7211857.86,229.07,-9999,-9999,-9999,-9999,32,32.03
101,Vault lake,ERT,20210914,-147.699406,65.02892097,467054.54,7211860.06,229.27,-9999,-9999,-9999,-9999,34,34.22
102,Vault lake,ERT,20210914,-147.6994037,65.02893937,467054.67,7211862.11,229.27,-9999,-9999,-9999,-9999,36,36.28
103,Vault lake,ERT,20210914,-147.6994039,65.0289566,467054.68,7211864.03,229.62,-9999,-9999,-9999,-9999,38,38.2
104,Vault lake,ERT,20210914,-147.6994048,65.02897526,467054.66,7211866.11,229.87,61,-9999,Bl spruce,-9999,40,40.28
105,Vault lake,ERT,20210914,-147.6993979,65.02899476,467055.01,7211868.28,229.48,-9999,-9999,-9999,-9999,42,42.48
106,Vault lake,ERT,20210914,-147.6993941,65.02901138,467055.21,7211870.13,229.24,-9999,-9999,-9999,-9999,44,44.34
107,Vault lake,ERT,20210914,-147.6993853,65.02903018,467055.65,7211872.22,229.28,46,-9999,-9999,Edge of road,-9999,46.47
108,Vault lake,ERT,20210914,-147.6993839,65.02904328,467055.73,7211873.68,228.76,-9999,-9999,-9999,Road,48,47.93
109,Vault lake,ERT,20210914,-147.699382,65.02905971,467055.84,7211875.51,228.78,96,-9999,-9999,In road,50,49.77
110,Vault lake,ERT,20210914,-147.6993763,65.02907894,467056.13,7211877.65,229.02,-9999,-9999,-9999,Edge road,52,51.93
111,Vault lake,ERT,20210914,-147.6993789,65.0290976,467056.03,7211879.73,229.16,-9999,-9999,-9999,-9999,54,54.01
112,Vault lake,ERT,20210914,-147.6993773,65.02911573,467056.13,7211881.75,229.02,-9999,-9999,-9999,-9999,56,56.03
113,Vault lake,ERT,20210914,-147.6993762,65.02913216,467056.2,7211883.58,229.01,-9999,-9999,-9999,-9999,58,57.86
114,Vault lake,ERT,20210914,-147.6993733,65.0291511,467056.36,7211885.69,228.54,999,-9999,Bl spruce,Greater than 130 = 999,60,59.98
115,Vault lake,ERT,20210914,-147.6993747,65.02917021,467056.32,7211887.82,228.58,-9999,-9999,-9999,-9999,62,62.11
116,Vault lake,ERT,20210914,-147.6993703,65.02919024,467056.55,7211890.05,228.46,-9999,-9999,-9999,-9999,64,64.35
117,Vault lake,ERT,20210914,-147.6993633,65.02920553,467056.9,7211891.75,228.32,-9999,-9999,-9999,-9999,66,66.08
118,Vault lake,ERT,20210914,-147.6993638,65.02922383,467056.9,7211893.79,228.17,-9999,-9999,-9999,-9999,68,68.12
119,Vault lake,ERT,20210914,-147.6993553,65.02924217,467057.32,7211895.83,228.25,999,-9999,Bl spruce,Edge spruce down to lake,70,70.21
120,Vault lake,ERT,20210914,-147.6993567,65.02925949,467057.28,7211897.76,228.12,-9999,-9999,-9999,-9999,72,72.14
121,Vault lake,ERT,20210914,-147.6993533,65.02927763,467057.46,7211899.78,228.02,-9999,-9999,-9999,-9999,74,74.16
122,Vault lake,ERT,20210914,-147.6993516,65.02929486,467057.56,7211901.7,227.81,-9999,-9999,-9999,-9999,76,76.09
123,Vault lake,ERT,20210914,-147.699351,65.02931272,467057.61,7211903.69,227.77,-9999,-9999,-9999,-9999,78,78.08
124,Vault lake,ERT,20210914,-147.6993439,65.02933034,467057.97,7211905.65,227.76,999,-9999,Shrub,-9999,80,80.07
125,Vault lake,ERT,20210914,-147.6993428,65.02934776,467058.04,7211907.59,227.6,-9999,-9999,-9999,-9999,82,82.02
126,Vault lake,ERT,20210914,-147.6993424,65.02936409,467058.08,7211909.41,227.3,-9999,-9999,-9999,Start of slumping,84,83.84
127,Vault lake,ERT,20210914,-147.6993416,65.0293807,467058.14,7211911.26,226.45,999,-9999,-9999,Lake edge,86,85.69
128,Vault lake,ERT,20210914,-147.6993382,65.02939938,467058.32,7211913.34,225.48,-9999,-9999,-9999,inerpolated,88,87.77
129,Vault lake,ERT,20210914,-147.6993349,65.02941797,467058.5,7211915.41,225.48,-9999,-9999,-9999,inerpolated,90,89.86
