site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,method,obs_limit,source
BET_31_29,10/1/2024,60.80564873,-161.8599433,67.0,1,67.0,tp,150.0,Jones_2025
BET_7_30,10/3/2024,60.7959,-161.8241833,52.0,1,52.0,tp,150.0,Jones_2025
BET_31_30,10/1/2024,60.80565708,-161.8599365,67.0,1,67.0,tp,150.0,Jones_2025
BET_7_31,10/3/2024,60.79589167,-161.8241917,49.0,1,49.0,tp,150.0,Jones_2025
BET_31_31,10/1/2024,60.80566542,-161.8599298,102.0,1,102.0,tp,150.0,Jones_2025
BET_7_32,10/3/2024,60.79588333,-161.8242,59.0,1,59.0,tp,150.0,Jones_2025
BET_31_32,10/1/2024,60.80567377,-161.859923,67.0,1,67.0,tp,150.0,Jones_2025
BET_7_33,10/3/2024,60.795875,-161.8242083,55.0,1,55.0,tp,150.0,Jones_2025
BET_31_33,10/1/2024,60.80568212,-161.8599163,61.0,1,61.0,tp,150.0,Jones_2025
BET_7_34,10/3/2024,60.79586667,-161.8242139,49.0,1,49.0,tp,150.0,Jones_2025
BET_31_34,10/1/2024,60.80569046,-161.8599095,96.0,1,96.0,tp,150.0,Jones_2025
BET_7_35,10/3/2024,60.79585833,-161.8242222,56.0,1,56.0,tp,150.0,Jones_2025
BET_31_35,10/1/2024,60.80569881,-161.8599027,91.0,1,91.0,tp,150.0,Jones_2025
BET_7_36,10/3/2024,60.79585,-161.8242306,49.0,1,49.0,tp,150.0,Jones_2025
BET_31_36,10/1/2024,60.80570715,-161.859896,90.0,1,90.0,tp,150.0,Jones_2025
BET_7_37,10/3/2024,60.79584167,-161.8242389,51.0,1,51.0,tp,150.0,Jones_2025
BET_31_37,10/1/2024,60.8057155,-161.8598892,113.0,1,113.0,tp,150.0,Jones_2025
BET_7_38,10/3/2024,60.79583611,-161.8242472,54.0,1,54.0,tp,150.0,Jones_2025
BET_31_38,10/1/2024,60.80572385,-161.8598825,134.0,1,134.0,tp,150.0,Jones_2025
BET_7_39,10/3/2024,60.795825,-161.8242556,44.0,1,44.0,tp,150.0,Jones_2025
BET_31_39,10/1/2024,60.80573219,-161.8598757,138.0,1,138.0,tp,150.0,Jones_2025
BET_7_40,10/3/2024,60.79581944,-161.8242639,49.0,1,49.0,tp,150.0,Jones_2025
BET_31_40,10/1/2024,60.80574054,-161.8598689,129.0,1,129.0,tp,150.0,Jones_2025
BET_7_41,10/3/2024,60.79581111,-161.8242722,50.0,1,50.0,tp,150.0,Jones_2025
BET_31_41,10/1/2024,60.80574888,-161.8598622,94.0,1,94.0,tp,150.0,Jones_2025
BET_7_42,10/3/2024,60.79580278,-161.8242806,54.0,1,54.0,tp,150.0,Jones_2025
BET_31_42,10/1/2024,60.80575723,-161.8598554,65.0,1,65.0,tp,150.0,Jones_2025
BET_7_43,10/3/2024,60.79579444,-161.8242861,45.0,1,45.0,tp,150.0,Jones_2025
BET_31_43,10/1/2024,60.80576558,-161.8598487,66.0,1,66.0,tp,150.0,Jones_2025
BET_7_44,10/3/2024,60.79578611,-161.8242944,48.0,1,48.0,tp,150.0,Jones_2025
BET_31_44,10/1/2024,60.80577392,-161.8598419,60.0,1,60.0,tp,150.0,Jones_2025
BET_7_45,10/3/2024,60.79577778,-161.8243028,66.0,1,66.0,tp,150.0,Jones_2025
BET_31_45,10/1/2024,60.80578227,-161.8598351,59.0,1,59.0,tp,150.0,Jones_2025
BET_7_46,10/3/2024,60.79576944,-161.8243111,58.0,1,58.0,tp,150.0,Jones_2025
BET_31_46,10/1/2024,60.80579061,-161.8598284,70.0,1,70.0,tp,150.0,Jones_2025
BET_7_47,10/3/2024,60.79576111,-161.8243194,58.0,1,58.0,tp,150.0,Jones_2025
BET_31_47,10/1/2024,60.80579896,-161.8598216,47.0,1,47.0,tp,150.0,Jones_2025
BET_7_48,10/3/2024,60.79575556,-161.8243278,49.0,1,49.0,tp,150.0,Jones_2025
BET_31_48,10/1/2024,60.80580731,-161.8598149,75.0,1,75.0,tp,150.0,Jones_2025
BET_7_49,10/3/2024,60.79574722,-161.8243361,65.0,1,65.0,tp,150.0,Jones_2025
BET_31_49,10/1/2024,60.80581565,-161.8598081,80.0,1,80.0,tp,150.0,Jones_2025
BET_7_50,10/3/2024,60.79573889,-161.8243444,71.0,1,71.0,tp,150.0,Jones_2025
BET_31_50,10/1/2024,60.805824,-161.8598013,70.0,1,70.0,tp,150.0,Jones_2025
BET_7_51,10/3/2024,60.79573056,-161.82435,60.0,1,60.0,tp,150.0,Jones_2025
BET_31_51,10/1/2024,60.80583234,-161.8597946,73.0,1,73.0,tp,150.0,Jones_2025
BET_7_52,10/3/2024,60.79572222,-161.8243583,57.0,1,57.0,tp,150.0,Jones_2025
BET_31_52,10/1/2024,60.80584069,-161.8597878,75.0,1,75.0,tp,150.0,Jones_2025
BET_7_53,10/3/2024,60.79571389,-161.8243667,51.0,1,51.0,tp,150.0,Jones_2025
BET_31_53,10/1/2024,60.80584904,-161.8597811,78.0,1,78.0,tp,150.0,Jones_2025
BET_7_54,10/3/2024,60.79570556,-161.824375,43.0,1,43.0,tp,150.0,Jones_2025
BET_31_54,10/1/2024,60.80585738,-161.8597743,78.0,1,78.0,tp,150.0,Jones_2025
BET_7_55,10/3/2024,60.79569722,-161.8243833,56.0,1,56.0,tp,150.0,Jones_2025
