site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,obs_limit,method,source,site_name,transect_name,transect_point,natali_source_thaw_depth_cm,natali_notes,natali_coordinate_source,quality_flag_coord_lookup_or_interpolated,quality_flag_source_unit_or_code_recoded,quality_flag_refusal_or_obstruction_note
Natali_2023_HCU_T3_L28,2016-08-09,65.567543,-148.92505939999998,46.0,1,46.0,,tp,Natali_2023,Hess Creek Unburned,3,28,46.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L29,2016-08-09,65.56755249999999,-148.9250612,42.0,1,42.0,,tp,Natali_2023,Hess Creek Unburned,3,29,42.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L30,2016-08-09,65.567562,-148.925063,57.0,1,57.0,,tp,Natali_2023,Hess Creek Unburned,3,30,57.0,,source_endpoint,False,False,False
Natali_2023_NCU_OLD_T1_L0,2016-08-10,65.340136,-146.9202,37.0,1,37.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,0,37.0,,source_endpoint,False,False,False
Natali_2023_NCU_OLD_T1_L1,2016-08-10,65.34014453333333,-146.92020536666666,51.0,1,51.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,1,51.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L2,2016-08-10,65.34015306666667,-146.92021073333333,35.0,1,35.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,2,35.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L3,2016-08-10,65.3401616,-146.9202161,38.0,1,38.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,3,38.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L4,2016-08-10,65.34017013333333,-146.92022146666667,42.0,1,42.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,4,42.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L5,2016-08-10,65.34017866666667,-146.92022683333334,31.0,1,31.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,5,31.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L6,2016-08-10,65.3401872,-146.9202322,38.0,1,38.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,6,38.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L7,2016-08-10,65.34019573333333,-146.92023756666666,42.0,1,42.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,7,42.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L8,2016-08-10,65.34020426666666,-146.92024293333333,40.0,1,40.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,8,40.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L9,2016-08-10,65.3402128,-146.9202483,38.0,1,38.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,9,38.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L10,2016-08-10,65.34022133333333,-146.92025366666667,51.0,1,51.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,10,51.0,,interpolated_transect,True,False,False
