lon,lat,date,pf_depth,pf_observed,thaw_depth,obs_limit,site_id,transect_direction,source,comments,method
-148.825383,69.041928,2018-08-23,48,1,48,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,47,1,47,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,53,1,53,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,38,1,38,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,39,1,39,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,53,1,53,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,58,1,58,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,57,1,57,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,61,1,61,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,55,1,55,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,32,1,32,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,57,1,57,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,43,1,43,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,58,1,58,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,53,1,53,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,45,1,45,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,55,1,55,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,35,1,35,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,50,1,50,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,42,1,42,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,44,1,44,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,43,1,43,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,48,1,48,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,32,1,32,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,44,1,44,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,45,1,45,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,38,1,38,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,43,1,43,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,59,1,59,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,58,1,58,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
