X,Y,PF
442313.9981,7206418.068,1
442314.3413,7206413.08,1
442314.6594,7206408.09,1
442314.9201,7206403.097,1
442315.2043,7206398.105,1
442315.5154,7206393.114,1
442315.8327,7206388.125,1
442316.1326,7206383.134,1
442316.4496,7206378.144,1
442316.9017,7206373.166,0
442317.0387,7206368.169,0
442317.4238,7206353.179,0
442317.8949,7206343.191,1
442318.1205,7206338.196,1
442318.3423,7206333.201,0
442318.4718,7206328.203,0
442318.7141,7206323.21,1
442318.8107,7206318.212,1
442319.241,7206313.235,1
442319.3247,7206308.236,1
442319.4458,7206303.237,0
442319.7246,7206298.246,0
442319.8628,7206293.248,1
442320.0033,7206288.252,1
442320.2827,7206283.26,1
442320.7092,7206273.27,1
442320.9165,7206268.275,1
442321.121,7206263.279,1
442321.3365,7206258.285,1
442321.62,7206253.293,1
442321.7506,7206248.295,1
442321.8874,7206243.299,0
442322.1201,7206238.305,1
442740.8436,7206563.394,0
442741.5042,7206558.438,1
442742.1714,7206553.483,1
442742.7671,7206548.519,1
442743.584,7206543.587,1
442744.2046,7206538.627,1
442744.8818,7206533.673,1
442745.4906,7206528.712,1
442746.1909,7206523.761,1
442746.7664,7206518.794,1
442747.4482,7206513.842,1
442748.1874,7206508.899,1
442750.2679,7206494.051,1
442750.8154,7206489.081,1
442751.4886,7206484.126,1
442752.1624,7206479.172,1
442752.8531,7206474.221,1
442753.4878,7206469.262,1
442754.205,7206464.314,1
442754.896,7206459.362,1
442755.5745,7206454.408,1
442756.2653,7206449.456,1
442756.9398,7206444.503,1
442757.6871,7206439.561,1
442758.4008,7206434.612,1
442759.0182,7206429.651,1
442759.8796,7206424.728,1
442760.6456,7206417.267,1
442761.2841,7206412.814,1
442762.0414,7206406.862,1
442762.6674,7206402.407,1
442763.4105,7206396.958,1
442764.0331,7206392.502,1
442764.6632,7206387.542,1
442765.6829,7206380.112,1
442766.3982,7206375.164,1
442767.1376,7206370.22,1
442767.7134,7206365.254,1
442768.3585,7206360.296,1
442768.8925,7206355.325,1
442770.2007,7206345.411,1
442770.7889,7206340.446,1
442771.4352,7206335.489,1
