pf_observed,date,lon,lat,site_id,source,pf_depth,thaw_depth,obs_limit,method
0,2019-09-15,-166.2127414258137,64.97805729035784,T47,Seward,,,,unknown
0,2019-09-15,-166.21462393257795,64.97797916736445,T47,Seward,,,,unknown
0,2019-09-15,-166.21716067354498,64.97784184328533,T47,Seward,,,,unknown
0,2019-09-15,-166.2171565951831,64.97775213533255,T47,Seward,,,,unknown
0,2019-09-15,-166.21686654982693,64.97789808571599,T47,Seward,,,,unknown
0,2019-09-15,-166.22174563151856,64.97754414170979,T47,Seward,,,,unknown
0,2019-09-15,-166.2228479826339,64.97755306444569,T47,Seward,,,,unknown
0,2019-09-15,-166.22288993949567,64.97754374662907,T47,Seward,,,,unknown
0,2019-09-15,-166.21122124115658,64.98192849687295,T47,Seward,,,,unknown
0,2019-09-15,-166.2107489869735,64.97992212808651,T47,Seward,,,,unknown
0,2019-09-15,-166.2128378439735,64.97925006373845,T47,Seward,,,,unknown
0,2019-09-15,-166.21251026485518,64.97950399958822,T47,Seward,,,,unknown
1,2019-09-15,-166.21127949516313,64.97712687766294,T47,Seward,,,,unknown
1,2019-09-15,-166.21379332861184,64.97742055371653,T47,Seward,,,,unknown
1,2019-09-15,-166.21403895492045,64.97769675396444,T47,Seward,,,,unknown
1,2019-09-15,-166.21438399429607,64.97782855936819,T47,Seward,,,,unknown
1,2019-09-15,-166.215274112081,64.97783029022088,T47,Seward,,,,unknown
1,2019-09-15,-166.21749226771834,64.97767760523568,T47,Seward,,,,unknown
1,2019-09-15,-166.21793548767806,64.97763809349615,T47,Seward,,,,unknown
1,2019-09-15,-166.2237145860166,64.97796774771264,T47,Seward,,,,unknown
1,2019-09-15,-166.2265821819844,64.97811472335478,T47,Seward,,,,unknown
1,2019-09-15,-166.20716831174562,64.97853321551494,T47,Seward,,,,unknown
1,2019-09-15,-166.2195308311261,64.98102626258382,T47,Seward,,,,unknown
1,2019-09-15,-166.22032028220204,64.98021214098473,T47,Seward,,,,unknown
1,2019-09-15,-166.2210408119636,64.97928191486933,T47,Seward,,,,unknown
1,2019-09-15,-166.22162518271628,64.97815536822596,T47,Seward,,,,unknown
1,2019-09-15,-166.21891599616723,64.97729804840347,T47,Seward,,,,unknown
1,2019-09-15,-166.21754599634912,64.9769951338004,T47,Seward,,,,unknown
1,2019-09-15,-166.217010349539,64.9777981982071,T47,Seward,,,,unknown
1,2019-09-15,-166.22299462662883,64.97751596664806,T47,Seward,,,,unknown
1,2019-09-15,-166.22307854010418,64.97749733092095,T47,Seward,,,,unknown
1,2019-09-15,-166.22301580990523,64.97751579310874,T47,Seward,,,,unknown
1,2019-09-15,-166.22623666826297,64.977973975498,T47,Seward,,,,unknown
1,2019-09-15,-166.20930035014018,64.9811633206595,T47,Seward,,,,unknown
1,2019-09-15,-166.2121627130001,64.97978501915566,T47,Seward,,,,unknown
1,2019-09-15,-166.2127819593042,64.97988767945898,T47,Seward,,,,unknown
1,2019-09-15,-166.2128020805794,64.97846063259882,T47,Seward,,,,unknown
1,2019-09-15,-166.21286141658024,64.97977037057422,T47,Seward,,,,unknown
1,2019-09-15,-166.21444948728868,64.97973951277108,T47,Seward,,,,unknown
1,2019-09-15,-166.2265190417955,64.97812421624779,T47,Seward,,,,unknown
1,2019-09-15,-166.2265074974984,64.97879737156653,T47,Seward,,,,unknown
1,2019-09-15,-166.20648734480272,64.9780002743798,T47,Seward,,,,unknown
0,2019-09-15,-166.22002822128806,64.97798894489816,T47,Seward,,,,unknown
0,2019-09-15,-166.21923631461794,64.9782825864129,T47,Seward,,,,unknown
0,2019-09-15,-166.21817426130676,64.97822843740089,T47,Seward,,,,unknown
0,2019-09-15,-166.21728494604244,64.97824466545136,T47,Seward,,,,unknown
0,2019-09-15,-166.2159348800382,64.97838130512027,T47,Seward,,,,unknown
0,2019-09-15,-166.21443325569425,64.9784473725239,T47,Seward,,,,unknown
0,2019-09-15,-166.21653951376362,64.98096092500052,T47,Seward,,,,unknown
0,2019-09-15,-166.21563258917843,64.98059139921219,T47,Seward,,,,unknown
0,2019-09-15,-166.21476561811448,64.98016769830807,T47,Seward,,,,unknown
0,2019-09-15,-166.21363631931908,64.97956664299197,T47,Seward,,,,unknown
0,2019-09-15,-166.2120887254225,64.97861898581661,T47,Seward,,,,unknown
