site_id,lat,lon,date,org_thick,thaw_depth,pf_depth,pf_observed,obs_limit,method,source
JG-WTC1,69.74,-143.6,2018-07-29,30.0,52.0,52.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-WTC2,69.74,-143.6,2018-08-02,,52.0,52.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
KG1D,67.04,-50.49,2024-09-07,,50.0,,0,50.0,aug_pit,Jorgenson_Kanevskiy_2025
KG1H,67.04,-50.49,2024-09-07,,51.0,61.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
KG1J,67.04,-50.49,2024-09-12,,53.0,,0,53.0,aug_pit,Jorgenson_Kanevskiy_2025
KG1L,67.04,-50.49,2024-09-12,,100.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
KG1i,67.04,-50.49,2024-09-07,,60.0,,0,60.0,aug_pit,Jorgenson_Kanevskiy_2025
KG3D,66.99,-50.94,2024-09-08,,,32.0,1,102.0,aug_pit,Jorgenson_Kanevskiy_2025
KG3E,66.99,-50.94,2024-09-08,,,58.0,1,80.0,aug_pit,Jorgenson_Kanevskiy_2025
KG3f,66.99,-50.94,2024-09-08,,55.0,,0,55.0,aug_pit,Jorgenson_Kanevskiy_2025
KG3G,66.99,-50.94,2024-09-10,,28.0,,0,28.0,aug_pit,Jorgenson_Kanevskiy_2025
KG3H,66.99,-50.94,2024-09-10,,38.0,,0,38.0,aug_pit,Jorgenson_Kanevskiy_2025
KG3K,66.99,-50.94,2024-09-10,,53.0,,0,53.0,aug_pit,Jorgenson_Kanevskiy_2025
KG3L,66.98,-50.94,2024-09-10,,100.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
KG3i,66.99,-50.94,2024-09-10,,62.0,,0,62.0,aug_pit,Jorgenson_Kanevskiy_2025
KG5d,67.15,-50.07,2024-09-11,,,50.0,1,225.0,aug_pit,Jorgenson_Kanevskiy_2025
KG5e,67.15,-50.07,2024-09-11,,,45.0,1,107.0,aug_pit,Jorgenson_Kanevskiy_2025
KG5f,67.15,-50.07,2024-09-11,,,77.0,1,90.0,aug_pit,Jorgenson_Kanevskiy_2025
KG5g,67.15,-50.07,2024-09-11,,,72.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
KG5H,67.15,-50.07,2024-09-11,,48.0,,0,48.0,aug_pit,Jorgenson_Kanevskiy_2025
KG5J,67.15,-50.07,2024-09-11,,63.0,,0,63.0,aug_pit,Jorgenson_Kanevskiy_2025
KG5K,67.15,-50.07,2024-09-11,,60.0,,0,60.0,aug_pit,Jorgenson_Kanevskiy_2025
KG5KB,67.15,-50.07,2024-09-11,,47.0,,0,47.0,aug_pit,Jorgenson_Kanevskiy_2025
KG5M,67.15,-50.07,2024-09-11,,57.0,,0,57.0,aug_pit,Jorgenson_Kanevskiy_2025
KG5I,67.15,-50.07,2024-09-11,,50.0,,0,50.0,aug_pit,Jorgenson_Kanevskiy_2025
KG7,67.13,-50.15,2024-09-11,,100.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
MULD2-1,63.38,-150.44,2005-09-04,,100.0,100.0,1,2000.0,aug_pit,Jorgenson_Kanevskiy_2025
MULD2-2,63.38,-150.44,2005-09-04,,80.0,80.0,1,1000.0,aug_pit,Jorgenson_Kanevskiy_2025
MULD3-1,63.42,-150.47,2005-09-05,,120.0,120.0,1,1500.0,aug_pit,Jorgenson_Kanevskiy_2025
MULD4-1,63.41,-150.47,2005-09-05,,100.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
MULD5-1,63.4,-150.46,2005-09-05,,100.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
MULD5-2,63.4,-150.46,2005-09-05,,100.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
MarCrk05,67.32,-150.15,2005-07-02,6.0,100.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
MarCrk07,67.32,-150.14,2007-07-08,9.0,160.0,,0,160.0,aug_pit,Jorgenson_Kanevskiy_2025
NAKN-T1-025,58.67,-156.38,2006-08-28,,72.0,,0,72.0,aug_pit,Jorgenson_Kanevskiy_2025
NAKN-T1-155,58.67,-156.38,2006-08-30,,118.0,,0,362.0,aug_pit,Jorgenson_Kanevskiy_2025
NAKN-T1-183,58.67,-156.38,2006-08-28,,50.0,,0,50.0,aug_pit,Jorgenson_Kanevskiy_2025
NAKN-T1-241,58.67,-156.38,2006-08-29,,80.0,,0,80.0,aug_pit,Jorgenson_Kanevskiy_2025
NAKN-T1-254,58.67,-156.38,2006-08-29,,42.0,,0,42.0,aug_pit,Jorgenson_Kanevskiy_2025
NAKN-T1-271,58.67,-156.38,2006-08-29,,45.0,,0,45.0,aug_pit,Jorgenson_Kanevskiy_2025
NAKN-T1-407,58.67,-156.38,2006-08-29,,150.0,150.0,1,150.0,aug_pit,Jorgenson_Kanevskiy_2025
NAKN-T2-000,58.67,-156.38,2006-08-27,,47.0,,0,47.0,aug_pit,Jorgenson_Kanevskiy_2025
NAKN-T2-118,58.68,-156.38,2006-08-30,,30.0,,0,30.0,aug_pit,Jorgenson_Kanevskiy_2025
NAKN-T2-152,58.68,-156.38,2006-08-29,,150.0,,0,150.0,aug_pit,Jorgenson_Kanevskiy_2025
NAKN-T2-181,58.68,-156.38,2006-08-29,,160.0,,0,200.0,aug_pit,Jorgenson_Kanevskiy_2025
NAKN-T2-340,58.68,-156.38,2006-08-30,,130.0,,0,240.0,aug_pit,Jorgenson_Kanevskiy_2025
NAKN-T2-350,58.68,-156.38,2006-08-30,,50.0,,0,50.0,aug_pit,Jorgenson_Kanevskiy_2025
NOAT-BIMU-E1,67.85,-161.31,2010-07-20,,60.0,,0,140.0,aug_pit,Jorgenson_Kanevskiy_2025
NOAT-GT1-E1,67.92,-161.96,2010-07-19,,80.0,,0,200.0,aug_pit,Jorgenson_Kanevskiy_2025
NOAT-GT1-E2,67.92,-161.96,2010-07-19,,60.0,60.0,1,400.0,aug_pit,Jorgenson_Kanevskiy_2025
NOAT-GT1-E3,67.92,-161.96,2010-07-23,,47.0,47.0,1,280.0,aug_pit,Jorgenson_Kanevskiy_2025
