site_location,source_site_identifier,lat,lon,thaw_depth,pf_observed,deepest_temperature_depth_m,date,source_active_layer_text,source_period,site_id,obs_limit,method,source,pf_depth,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_source_unit_or_code_recoded
Nelson River,R68-1-1 River Bank ,56.48,-94.14,,0,18.0,1977-07-01,no pf,1977-05-01 00:00:00,Nelson River | R68-1-1 River Bank,1800.0,temp,Smith_Burgess_2000,,True,True,True
S of Pennycuttaway River,R65-4-3 Peat Plateau,56.1,-93.3,250.0,1,15.0,1977-07-01,~250,05/1977-08/1977,S of Pennycuttaway River | R65-4-3 Peat Plateau,,unknown,Smith_Burgess_2000,250.0,True,True,True
N of Gods River,R59-1-1 Peat Plateau,55.4,-92.6,125.0,1,12.2,1977-07-01,~125,05/1977-08/1977,N of Gods River | R59-1-1 Peat Plateau,,unknown,Smith_Burgess_2000,125.0,True,True,True
N of Gods River,R59-1-4 Peat Plateau,55.4,-92.6,100.0,1,12.2,1977-07-01,~100,05/1977-08/1977,N of Gods River | R59-1-4 Peat Plateau,,unknown,Smith_Burgess_2000,100.0,True,True,True
Kangiqsualujjuaq,Till,58.5,-65.5,245.0,1,1.9,1985-07-01,245,08/84-03/87,Kangiqsualujjuaq | Till,,unknown,Smith_Burgess_2000,245.0,True,True,True
Kangiqsualujjuaq,Tidal Marsh,58.5,-65.5,220.0,1,2.15,1985-07-01,220,08/84-09/86,Kangiqsualujjuaq | Tidal Marsh,,unknown,Smith_Burgess_2000,220.0,True,True,True
Kangiqsualujjuaq,Tidal Flat,58.5,-65.5,,0,1.27,1985-07-01,no pf,08/84-11/86,Kangiqsualujjuaq | Tidal Flat,127.0,temp,Smith_Burgess_2000,,True,True,True
Quaqtaq,rock,61.03,-69.5,460.0,1,20.0,1990-07-01,460,07/88-12/92,Quaqtaq | rock,,unknown,Smith_Burgess_2000,460.0,True,True,True
Salluit,rock,62.25,-75.5,220.0,1,20.0,1990-07-01,220,06/87-12/93,Salluit | rock,,unknown,Smith_Burgess_2000,220.0,True,True,True
Salluit,till,62.25,-75.5,130.0,1,5.0,1990-07-01,130,06/87-12/93,Salluit | till,,unknown,Smith_Burgess_2000,130.0,True,True,True
Salluit,silt,62.25,-75.5,60.0,1,5.0,1990-07-01,60,06/87-12/93,Salluit | silt,,unknown,Smith_Burgess_2000,60.0,True,True,True
Tasiujaq,rock,58.7,-70.0,550.0,1,20.0,1988-07-01,550,10/88-12/89,Tasiujaq | rock,,unknown,Smith_Burgess_2000,550.0,True,True,True
Melville Island,16-1,76.35,-108.45,20.0,1,13.0,1980-07-01,~10-20,1978 - 1982,Melville Island | 16-1,,unknown,Smith_Burgess_2000,20.0,True,True,True
Melville Island,D2-5 (PGP),76.23,-108.84,10.0,1,11.4,1979-07-01,~10,1977 - 1982,Melville Island | D2-5 (PGP),,unknown,Smith_Burgess_2000,10.0,True,True,True
Melville Island,13-2,76.15,-108.86,10.0,1,13.0,1980-07-01,~10,1978 - 1982,Melville Island | 13-2,,unknown,Smith_Burgess_2000,10.0,True,True,True
Melville Island,R239-4 (PGP),75.56,-104.49,35.0,1,13.0,1977-07-01,~35,1977 - 1978,Melville Island | R239-4 (PGP),,unknown,Smith_Burgess_2000,35.0,True,True,True
Melville Island,R240A-1-3 (PGP),75.56,-104.89,30.0,1,11.2,1977-07-01,~30,1977 - 1978,Melville Island | R240A-1-3 (PGP),,unknown,Smith_Burgess_2000,30.0,True,True,True
Melville Island,R240A-1 (PGP),75.56,-104.93,20.0,1,13.0,1977-07-01,~20,1977 - 1978,Melville Island | R240A-1 (PGP),,unknown,Smith_Burgess_2000,20.0,True,True,True
Melville Island,10-2,75.9,-109.04,10.0,1,8.1,1980-07-01,~10,1978 - 1982,Melville Island | 10-2,,unknown,Smith_Burgess_2000,10.0,True,True,True
Melville Island,245-1 (PGP),75.51,-108.58,10.0,1,9.15,1979-07-01,~10,1978 - 1981,Melville Island | 245-1 (PGP),,unknown,Smith_Burgess_2000,10.0,True,True,True
Melville Island,2-6,75.21,-108.55,38.0,1,10.8,1979-07-01,~30-38,1978 - 1981,Melville Island | 2-6,,unknown,Smith_Burgess_2000,38.0,True,True,True
Melville Island,1-8,75.12,-108.61,40.0,1,13.0,1979-07-01,~25-40,1978 - 1981,Melville Island | 1-8,,unknown,Smith_Burgess_2000,40.0,True,True,True
Melville Island,R245A-2 (PGP),75.76,-108.81,40.0,1,13.0,1979-07-01,~40,1977 - 1982,Melville Island | R245A-2 (PGP),,unknown,Smith_Burgess_2000,40.0,True,True,True
Melville Island,247-3 (PGP),75.68,-108.79,30.0,1,8.65,1979-07-01,~30,1977 - 1982,Melville Island | 247-3 (PGP),,unknown,Smith_Burgess_2000,30.0,True,True,True
Melville Island,7-2,75.75,-108.67,35.0,1,11.0,1979-07-01,~22-35,1978 - 1981,Melville Island | 7-2,,unknown,Smith_Burgess_2000,35.0,True,True,True
"Truelove Lowlands,Devon Is.","A1) Beach ridge, S slope",75.55,-84.66666666666667,110.0,1,0.0,1972-07-01,110,05/1972 - 05/1973,"Truelove Lowlands,Devon Is. | A1) Beach ridge, S slope",,unknown,Smith_Burgess_2000,110.0,True,True,True
"Truelove Lowlands,Devon Is.",A2) -top,75.55,-84.66666666666667,91.0,1,0.0,1972-07-01,91,05/1972 - 05/1973,"Truelove Lowlands,Devon Is. | A2) -top",,unknown,Smith_Burgess_2000,91.0,True,True,True
"Truelove Lowlands,Devon Is.",A3) -north slope,75.55,-84.66666666666667,61.0,1,0.0,1972-07-01,61,05/1972 - 05/1973,"Truelove Lowlands,Devon Is. | A3) -north slope",,unknown,Smith_Burgess_2000,61.0,True,True,True
"Truelove Lowlands,Devon Is.",B) Tundra-meadow,75.55,-84.66666666666667,70.0,1,0.0,1972-07-01,70,05/1972 - 05/1973,"Truelove Lowlands,Devon Is. | B) Tundra-meadow",,unknown,Smith_Burgess_2000,70.0,True,True,True
"Truelove Lowlands,Devon Is.",C) Limestone-coast,75.55,-84.66666666666667,122.0,1,0.0,1972-07-01,122,05/1972 - 05/1973,"Truelove Lowlands,Devon Is. | C) Limestone-coast",,unknown,Smith_Burgess_2000,122.0,True,True,True
"Truelove Lowlands,Devon Is.",D) Limestone-inland,75.55,-84.66666666666667,140.0,1,0.0,1972-07-01,140,05/1972 - 05/1973,"Truelove Lowlands,Devon Is. | D) Limestone-inland",,unknown,Smith_Burgess_2000,140.0,True,True,True
"Truelove Lowlands,Devon Is.",E) Granite Gneiss,75.55,-84.66666666666667,223.0,1,0.0,1972-07-01,223,05/1972 - 05/1973,"Truelove Lowlands,Devon Is. | E) Granite Gneiss",,unknown,Smith_Burgess_2000,223.0,True,True,True
"Truelove Lowlands,Devon Is.",F) Upland Plateau,75.55,-84.66666666666667,30.0,1,0.0,1972-07-01,<30,05/1972 - 05/1973,"Truelove Lowlands,Devon Is. | F) Upland Plateau",,unknown,Smith_Burgess_2000,30.0,True,True,True
Garry Island,1,69.5,-135.76666666666668,50.0,1,0.91,1969-07-01,15 - 50,07/1969 - 06/1970,Garry Island | 1,,unknown,Smith_Burgess_2000,50.0,True,True,True
Mackenzie Delta,TC1 Niglintagak#HT276,69.3,-135.2,197.0,1,,1991-07-01,197,08/90-07/92,Mackenzie Delta | TC1 Niglintagak#HT276,,unknown,Smith_Burgess_2000,197.0,True,True,True
Mackenzie Delta,TC2 Niglintagak Bar,69.3,-135.2,195.0,1,,1991-07-01,195,08/90-07/92,Mackenzie Delta | TC2 Niglintagak Bar,,unknown,Smith_Burgess_2000,195.0,True,True,True
Mackenzie Delta,TC3 MiddleCh#HT273,69.3,-135.3,200.0,1,,1991-07-01,200,08/90-07/92,Mackenzie Delta | TC3 MiddleCh#HT273,,unknown,Smith_Burgess_2000,200.0,True,True,True
Mackenzie Delta,TC4 Aklak channel #HT283,69.3,-135.2,173.0,1,,1991-07-01,173,08/90-07/92,Mackenzie Delta | TC4 Aklak channel #HT283,,unknown,Smith_Burgess_2000,173.0,True,True,True
Mackenzie Delta,TC5 Kumak Ch #HT272,69.4,-135.3,200.0,1,,1991-07-01,~200,08/90-07/92,Mackenzie Delta | TC5 Kumak Ch #HT272,,unknown,Smith_Burgess_2000,200.0,True,True,True
Mackenzie Delta,TC6 Niglintagak 1593,69.4,-135.3,200.0,1,,1991-07-01,~200,08/90-07/92,Mackenzie Delta | TC6 Niglintagak 1593,,unknown,Smith_Burgess_2000,200.0,True,True,True
Mackenzie Delta,TC7 Harry Ch #HT286,69.5,-134.7,248.0,1,,1991-07-01,248,08/90-07/92,Mackenzie Delta | TC7 Harry Ch #HT286,,unknown,Smith_Burgess_2000,248.0,True,True,True
Mackenzie Delta,TC8 Harry Ch #HT277,69.5,-134.7,100.0,1,,1991-07-01,100,07/91-07/92,Mackenzie Delta | TC8 Harry Ch #HT277,,unknown,Smith_Burgess_2000,100.0,True,True,True
Mackenzie Delta,TC11 Mouth Harry Ch,69.5,-134.8,80.0,1,,1992-07-01,80,08/91-06/93,Mackenzie Delta | TC11 Mouth Harry Ch,,unknown,Smith_Burgess_2000,80.0,True,True,True
Mackenzie Delta,TC12 Bar Harry Ch,69.5,-134.8,193.0,1,,1991-07-01,193,08/91-07/92,Mackenzie Delta | TC12 Bar Harry Ch,,unknown,Smith_Burgess_2000,193.0,True,True,True
Mackenzie Delta,TC13 Harry Ch North of Big Horn Pt,69.4,-134.9,200.0,1,,1991-07-01,~200,08/91,Mackenzie Delta | TC13 Harry Ch North of Big Horn Pt,,unknown,Smith_Burgess_2000,200.0,True,True,True
Mackenzie Delta,TC14 Harry Ch South of Big Lake,69.3,-135.0,196.0,1,,1992-07-01,196,08/91-06/93,Mackenzie Delta | TC14 Harry Ch South of Big Lake,,unknown,Smith_Burgess_2000,196.0,True,True,True
Mackenzie Delta,TC17 Goose Is. north,69.45,-135.38,93.0,1,,1991-07-01,93,08/91-07/92,Mackenzie Delta | TC17 Goose Is. north,,unknown,Smith_Burgess_2000,93.0,True,True,True
