OBJECTID,Point_Id,Lat,Lon,Time,Thaw depth [cm],Rock_depth [cm],NEAR_DIST [m],Permafrost_Table [m amsl],Surface_Elev [m amsl],Differential elev [m],Slope [m/m]
73,TRAN003,69.17359323,-148.8771805,12/30/1899 0:00:00,73,no rocks,3.574163583,322.46915,323.19915,0.78591,0.21988641
74,TRAN004,69.17358465,-148.8771576,12/30/1899 0:00:00,54,no rocks,4.889379391,322.7467,323.2867,0.87346,0.178644349
75,TRAN005,69.17357715,-148.8771413,12/30/1899 0:00:00,55,no rocks,5.929304551,322.88259,323.43259,1.01935,0.171917295
76,TRAN006,69.17357154,-148.8771247,12/30/1899 0:00:00,61,no rocks,6.836147889,322.92639,323.53639,1.12315,0.164295743
77,TRAN007,69.17356647,-148.8771046,12/30/1899 0:00:00,47,no rocks,7.810526216,323.04849,323.51849,1.10525,0.141507751
78,TRAN008,69.17355837,-148.8770795,12/30/1899 0:00:00,42,no rocks,9.153770508,323.13401,323.55401,1.14077,0.124622963
79,TRAN009,69.17352644,-148.8769947,12/30/1899 0:00:00,48,no rocks,14.03763577,323.24504,323.72504,1.3118,0.093448785
80,TRAN010,69.17349636,-148.87691,12/30/1899 0:00:00,49,no rocks,18.78067433,323.52586,324.01586,1.60262,0.085333464
81,TRAN011,69.17346928,-148.8768083,12/30/1899 0:00:00,42,no rocks,23.80363569,323.93461,324.35461,1.94137,0.081557709
82,TRAN012,69.17344687,-148.8767016,12/30/1899 0:00:00,37,no rocks,28.62936008,324.38664,324.75664,2.3434,0.081853035
83,TRAN013,69.17340669,-148.8764898,12/30/1899 0:00:00,39,no rocks,37.88692949,324.97495,325.36495,2.95171,0.077908398
84,TRAN014,69.17336592,-148.8762742,12/30/1899 0:00:00,53,no rocks,47.30307949,325.69451,326.22451,3.81127,0.080571287
85,TRAN015,69.17332674,-148.876056,12/30/1899 0:00:00,51,no rocks,56.67907246,326.20319,326.71319,4.29995,0.075864862
86,TRAN016,69.17328867,-148.8758642,12/30/1899 0:00:00,46,no rocks,65.18618574,327.0111,327.4711,5.05786,0.077590979
87,TRAN017,69.17325567,-148.8756722,12/30/1899 0:00:00,45,no rocks,73.3285424,327.29341,327.74341,5.33017,0.072688885
88,TRAN018,69.17319116,-148.875483,12/30/1899 0:00:00,37,no rocks,83.72085567,327.63258,328.00258,5.58934,0.066761621
89,TRAN019,69.17313383,-148.8753143,12/30/1899 0:00:00,41,no rocks,92.97719132,327.91731,328.32731,5.91407,0.063607751
90,TRAN020,69.17309154,-148.8750859,12/30/1899 0:00:00,40,no rocks,102.8831225,328.4517,328.8517,6.43846,0.062580332
,,,,,,,,,,,
91,TRAN021,69.17364533,-148.8772957,12/30/1899 0:00:00,c.n.p.,no rocks,-3.706456569,,322.22213,0,0
92,TRAN022,69.17365029,-148.8773077,12/30/1899 0:00:00,c.n.p.,105,-4.429861223,,322.57313,0.351,0.079234988
93,TRAN023,69.17365704,-148.8773198,12/30/1899 0:00:00,77,no rocks,-5.290711547,321.91205,322.68205,0.45992,0.086929706
94,TRAN024,69.17366435,-148.8773297,12/30/1899 0:00:00,45,no rocks,-6.126415775,322.2442,322.6942,0.47207,0.077054842
95,TRAN025,69.17367491,-148.8773588,12/30/1899 0:00:00,43,no rocks,-7.770428356,322.35792,322.78792,0.56579,0.072813232
96,TRAN026,69.17370082,-148.8774641,12/30/1899 0:00:00,44,no rocks,-12.81613058,322.42743,322.86743,0.6453,0.050350611
97,TRAN027,69.173726,-148.8775587,12/30/1899 0:00:00,48,no rocks,-17.48629275,322.80292,323.28292,1.06079,0.060664088
98,TRAN028,69.17375265,-148.8776547,12/30/1899 0:00:00,51,no rocks,-22.30895675,322.99087,323.50087,1.27874,0.057319579
99,TRAN029,69.17377579,-148.8777649,12/30/1899 0:00:00,52,no rocks,-27.29423284,323.05797,323.57797,1.35584,0.049674963
100,TRAN030,69.17382861,-148.8779487,12/30/1899 0:00:00,37,no rocks,-36.65956722,323.09916,323.46916,1.24703,0.034016495
101,TRAN031,69.17387355,-148.878203,12/30/1899 0:00:00,39,no rocks,-47.5329816,323.2719,323.6619,1.43977,0.030289916
102,TRAN032,69.17392302,-148.8784131,12/30/1899 0:00:00,40,no rocks,-57.42995443,323.52091,323.92091,1.69878,0.029580034
103,TRAN033,69.17397476,-148.8786135,12/30/1899 0:00:00,41,no rocks,-67.21032678,323.84807,324.25807,2.03594,0.030292071
104,TRAN034,69.1740094,-148.8788431,12/30/1899 0:00:00,45,no rocks,-76.58729149,323.78744,324.23744,2.01531,0.026313896
105,TRAN035,69.17405827,-148.8790562,12/30/1899 0:00:00,32,no rocks,-86.52906681,324.23288,324.55288,2.33075,0.026936035
106,TRAN036,69.17412881,-148.8792379,12/30/1899 0:00:00,51,no rocks,-97.14611721,324.28604,324.79604,2.57391,0.026495243
107,TRAN037,69.17418543,-148.8794288,12/30/1899 0:00:00,45,no rocks,-107.0083516,324.73387,325.18387,2.96174,0.027677653
108,TRAN038,69.17422949,-148.8796272,12/30/1899 0:00:00,44,no rocks,-116.1561492,324.95458,325.39458,3.17245,0.027311942
109,TRAN039,69.17427376,-148.8798364,12/30/1899 0:00:00,43,no rocks,-125.641714,325.33669,325.76669,3.54456,0.02821165
110,TRAN040,69.17433371,-148.8800032,12/30/1899 0:00:00,39,no rocks,-135.0349336,325.52322,325.91322,3.69109,0.027334334
111,TRAN041,69.17439338,-148.8801494,12/30/1899 0:00:00,33,no rocks,-143.7944576,325.58086,325.91086,3.68873,0.025652797
