site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,method,obs_limit,source
LCP_2024_84.0,07/21/2024,70.7338063,-153.8549701,24.0,1,,tp,100,Jones_Jones_2025
LCP_2024_85.0,07/21/2024,70.73379673,-153.855239,21.0,1,,tp,100,Jones_Jones_2025
LCP_2024_86.0,07/21/2024,70.73378632,-153.8555112,30.0,1,,tp,100,Jones_Jones_2025
LCP_2024_87.0,07/21/2024,70.73377825,-153.8557822,25.0,1,,tp,100,Jones_Jones_2025
LCP_2024_88.0,07/21/2024,70.73368776,-153.8557531,28.0,1,,tp,100,Jones_Jones_2025
LCP_2024_89.0,07/21/2024,70.73369637,-153.8554825,25.0,1,,tp,100,Jones_Jones_2025
LCP_2024_90.0,07/21/2024,70.73370624,-153.8552144,19.0,1,,tp,100,Jones_Jones_2025
LCP_2024_91.0,07/21/2024,70.73371618,-153.8549417,31.0,1,,tp,100,Jones_Jones_2025
LCP_2024_92.0,07/21/2024,70.73372636,-153.854673,28.0,1,,tp,100,Jones_Jones_2025
LCP_2024_93.0,07/21/2024,70.73373612,-153.8544029,23.0,1,,tp,100,Jones_Jones_2025
LCP_2024_94.0,07/21/2024,70.73374486,-153.8541318,17.0,1,,tp,100,Jones_Jones_2025
LCP_2024_95.0,07/21/2024,70.73375451,-153.8538639,20.0,1,,tp,100,Jones_Jones_2025
LCP_2024_96.0,07/21/2024,70.73376424,-153.853591,28.0,1,,tp,100,Jones_Jones_2025
LCP_2024_97.0,07/21/2024,70.733773,-153.8533243,22.0,1,,tp,100,Jones_Jones_2025
LCP_2024_98.0,07/21/2024,70.73378158,-153.8530532,25.0,1,,tp,100,Jones_Jones_2025
LCP_2024_99.0,07/21/2024,70.73369089,-153.8530225,24.0,1,,tp,100,Jones_Jones_2025
LCP_2024_100.0,07/21/2024,70.73368194,-153.8532922,24.0,1,,tp,100,Jones_Jones_2025
LCP_2024_101.0,07/21/2024,70.733673,-153.853563,27.0,1,,tp,100,Jones_Jones_2025
LCP_2024_102.0,07/21/2024,70.73366387,-153.8538314,27.0,1,,tp,100,Jones_Jones_2025
LCP_2024_103.0,07/21/2024,70.73365452,-153.8541006,19.0,1,,tp,100,Jones_Jones_2025
LCP_2024_104.0,07/21/2024,70.73364539,-153.8543679,24.0,1,,tp,100,Jones_Jones_2025
LCP_2024_105.0,07/21/2024,70.73363583,-153.854637,20.0,1,,tp,100,Jones_Jones_2025
LCP_2024_106.0,07/21/2024,70.73362807,-153.854911,26.0,1,,tp,100,Jones_Jones_2025
LCP_2024_107.0,07/21/2024,70.733618,-153.8551881,27.0,1,,tp,100,Jones_Jones_2025
LCP_2024_108.0,07/21/2024,70.73360847,-153.8554546,26.0,1,,tp,100,Jones_Jones_2025
LCP_2024_109.0,07/21/2024,70.73359844,-153.8557251,27.0,1,,tp,100,Jones_Jones_2025
LCP_2024_110.0,07/21/2024,70.73351019,-153.8557037,22.0,1,,tp,100,Jones_Jones_2025
