GridID,Lat_Decimal_Degrees,Long_Decimal_Degrees,Northing_m,Easting_m,ThawDepth1_cm,ThawDepth2_cm,ThawDepth3_cm,Mean_ThawDepth_cm,Soil_Temperature_degCelsius_12cm,Volumetric_Water_Content_Upper12cm_Percent,WaterLevel_cm,Maximum_Vegetation_ Height_cm
43,70.73413479,-153.8558986,7847967.542,468482.1,29,28,30,29,6.4,100,8,35
44,70.7340448,-153.8558714,7847957.493,468482.962,28,27,28,28,5.4,100,13,33
45,70.73405408,-153.8556012,7847958.387,468492.924,20,20,21,20,2.2,55.5,-9999,18
46,70.73406379,-153.8553333,7847959.331,468502.804,24,24,25,24,2,50.3,-9999,22
47,70.73407316,-153.8550606,7847960.234,468512.86,19,19,23,20,3.2,47.5,-9999,16
48,70.73408156,-153.8547927,7847961.032,468522.738,27,27,28,27,6,83.1,-9999,31
49,70.73409006,-153.8545234,7847961.84,468532.667,25,25,25,25,5.1,68.2,-9999,21
50,70.73409901,-153.8542541,7847962.699,468542.6,24,24,24,24,4.9,71.9,-9999,22
51,70.73410883,-153.8539846,7847963.654,468552.537,27,27,28,27,5.7,100,17,54
52,70.73411799,-153.8537157,7847964.536,468562.455,17,19,17,18,1.9,74.9,-9999,23
53,70.73412821,-153.8534449,7847965.536,468572.443,21,22,22,22,3.4,85.3,-9999,27
