easting_m	northing_m	elevation_m	twt_ns	alt_m
353941.0887	7047300.406	1190.515458	18.256076	0.9128
353941.0674	7047300.36	1190.505864	18.256076	0.9128
353941.0461	7047300.315	1190.49627	18.153514	0.9077
353941.0249	7047300.27	1190.486675	18.050952	0.9025
353941.0036	7047300.225	1190.477081	17.743265	0.8872
353940.9824	7047300.179	1190.467486	17.640703	0.882
353940.9611	7047300.134	1190.457891	17.640703	0.882
353940.9398	7047300.089	1190.448297	17.435578	0.8718
353940.9186	7047300.044	1190.438703	17.435578	0.8718
353940.8866	7047300.005	1190.441955	17.333016	0.8667
353940.8546	7047299.967	1190.445208	17.230454	0.8615
353940.8216	7047299.93	1190.449711	17.230454	0.8615
353940.7886	7047299.892	1190.454214	17.230454	0.8615
353940.7556	7047299.854	1190.458718	17.435578	0.8718
353940.7226	7047299.817	1190.463221	17.845827	0.8923
353940.6906	7047299.778	1190.463436	18.153514	0.9077
353940.6587	7047299.74	1190.463652	18.40992	0.9205
353940.6272	7047299.701	1190.461954	18.666325	0.9333
353940.5958	7047299.662	1190.460256	18.87145	0.9436
353940.5613	7047299.626	1190.450359	18.974012	0.9487
353940.5268	7047299.59	1190.440461	19.281699	0.9641
353940.4925	7047299.554	1190.429848	19.486823	0.9743
353940.4581	7047299.517	1190.419236	19.897072	0.9949
353940.4336	7047299.474	1190.407182	20.102196	1.0051
353940.4091	7047299.43	1190.395129	20.102196	1.0051
353940.3846	7047299.387	1190.383075	20.153477	1.0077
353940.3601	7047299.343	1190.371021	20.204759	1.0102
353940.3259	7047299.31	1190.34805	20.204759	1.0102
353940.2917	7047299.277	1190.32508	20.204759	1.0102
353940.2461	7047299.257	1190.289286	20.102196	1.0051
353940.2005	7047299.236	1190.253489	20.102196	1.0051
353940.1681	7047299.201	1190.258237	19.79451	0.9897
353940.1357	7047299.165	1190.262986	19.691947	0.9846
353940.1094	7047299.122	1190.286304	19.486823	0.9743
353940.0831	7047299.08	1190.309622	19.281699	0.9641
353940.0431	7047299.051	1190.33514	19.076574	0.9538
353940.0031	7047299.023	1190.360656	18.87145	0.9436
353939.961	7047298.996	1190.363863	18.666325	0.9333
353939.9189	7047298.969	1190.367069	18.461201	0.9231
353939.8773	7047298.941	1190.369801	18.461201	0.9231
353939.8357	7047298.913	1190.372534	18.461201	0.9231
353939.7944	7047298.885	1190.375764	18.392826	0.9196
353939.7532	7047298.857	1190.378994	18.324451	0.9162
353939.7139	7047298.826	1190.378075	18.256076	0.9128
353939.6747	7047298.795	1190.377156	18.187701	0.9094
353939.6354	7047298.764	1190.376234	18.119327	0.906
353939.5961	7047298.733	1190.375311	18.050952	0.9025
353939.5569	7047298.702	1190.374388	17.94839	0.8974
353939.5176	7047298.671	1190.373465	17.743265	0.8872
353939.4784	7047298.64	1190.372543	17.503953	0.8752
353939.4391	7047298.609	1190.37162	17.264641	0.8632
353939.3995	7047298.579	1190.368859	17.02533	0.8513
353939.3598	7047298.548	1190.366098	16.871486	0.8436
353939.3199	7047298.518	1190.362407	16.717643	0.8359
353939.28	7047298.488	1190.358717	16.5638	0.8282
353939.2402	7047298.458	1190.355026	16.409956	0.8205
353939.2003	7047298.428	1190.351335	16.409956	0.8205
353939.1604	7047298.397	1190.347645	16.512518	0.8256
353939.1206	7047298.367	1190.343954	16.717643	0.8359
353939.0808	7047298.337	1190.333065	16.922767	0.8461
