easting_m	northing_m	elevation_m	twt_ns	alt_m
638545.6741	7040168.019	1179.03315	14.95245	0.7476
638545.7027	7040168.06	1179.041721	14.8924	0.7446
638545.7313	7040168.101	1179.050293	14.83235	0.7416
638545.7599	7040168.142	1179.058864	14.7723	0.7386
638545.7885	7040168.183	1179.067436	14.692233	0.7346
638545.8171	7040168.224	1179.076008	14.612167	0.7306
638545.8457	7040168.265	1179.084579	14.5321	0.7266
638545.8721	7040168.307	1179.088236	14.412	0.7206
638545.8963	7040168.351	1179.086658	14.2919	0.7146
638545.9204	7040168.395	1179.085079	13.781967	0.6891
638545.9445	7040168.438	1179.083501	13.585082	0.6793
638545.9687	7040168.482	1179.081521	13.388197	0.6694
638545.9955	7040168.524	1179.071714	12.994426	0.6497
638546.0223	7040168.567	1179.061908	12.206885	0.6103
638546.0492	7040168.609	1179.0521	12.01	0.6005
638546.076	7040168.651	1179.042292	11.813115	0.5907
638546.1028	7040168.693	1179.032486	11.813115	0.5907
638546.1296	7040168.735	1179.022679	11.813115	0.5907
638546.1564	7040168.778	1179.012872	11.813115	0.5907
638546.1832	7040168.82	1179.003064	12.01	0.6005
638546.2173	7040168.838	1178.990097	12.01	0.6005
638546.2631	7040168.818	1178.972012	12.206885	0.6103
638546.2888	7040168.858	1178.990994	12.40377	0.6202
638546.3191	7040168.897	1179.0055	12.600656	0.63
638546.3606	7040168.924	1179.006975	12.994426	0.6497
638546.4021	7040168.952	1179.00845	12.994426	0.6497
638546.4436	7040168.98	1179.009925	12.797541	0.6399
638546.4826	7040169.011	1179.008668	12.600656	0.63
638546.515	7040169.049	1179.000074	12.40377	0.6202
638546.5474	7040169.087	1178.99148	11.813115	0.5907
638546.5798	7040169.125	1178.982886	11.419344	0.571
638546.6122	7040169.163	1178.974293	11.025574	0.5513
638546.6376	7040169.205	1178.97047	11.025574	0.5513
638546.6519	7040169.253	1178.974296	10.828688	0.5414
638546.6662	7040169.301	1178.978123	10.434918	0.5217
638546.6805	7040169.349	1178.98195	10.041147	0.5021
638546.6947	7040169.397	1178.985777	10.041147	0.5021
638546.709	7040169.445	1178.989603	9.647377	0.4824
638546.7233	7040169.493	1178.99343	9.647377	0.4824
638546.7408	7040169.539	1178.995268	9.647377	0.4824
638546.7648	7040169.583	1178.993038	9.647377	0.4824
638546.7889	7040169.627	1178.990808	9.647377	0.4824
638546.813	7040169.671	1178.988579	9.647377	0.4824
638546.8371	7040169.714	1178.986349	9.647377	0.4824
638546.8612	7040169.758	1178.984119	10.041147	0.5021
638546.8853	7040169.802	1178.98189	10.631803	0.5316
638546.9093	7040169.846	1178.97966	10.828688	0.5414
638546.9417	7040169.883	1178.972265	10.828688	0.5414
638546.9776	7040169.918	1178.962696	11.025574	0.5513
638547.0135	7040169.953	1178.953127	11.419344	0.571
638547.0493	7040169.988	1178.943558	11.616229	0.5808
638547.0852	7040170.023	1178.93399	11.813115	0.5907
638547.1211	7040170.058	1178.924422	12.01	0.6005
638547.1569	7040170.092	1178.914854	12.01	0.6005
638547.1928	7040170.127	1178.905284	12.206885	0.6103
638547.2287	7040170.162	1178.895716	12.40377	0.6202
638547.2646	7040170.197	1178.886147	12.600656	0.63
638547.2965	7040170.234	1178.87968	12.600656	0.63
638547.3059	7040170.283	1178.890992	12.600656	0.63
638547.3153	7040170.332	1178.902305	12.600656	0.63
638547.3354	7040170.378	1178.909939	12.600656	0.63
638547.3573	7040170.423	1178.916924	12.600656	0.63
638547.3792	7040170.467	1178.92391	12.600656	0.63
638547.4012	7040170.512	1178.930896	12.600656	0.63
638547.4282	7040170.554	1178.937862	12.600656	0.63
638547.4573	7040170.595	1178.944819	12.600656	0.63
638547.4865	7040170.636	1178.951777	12.600656	0.63
638547.5157	7040170.676	1178.958734	12.600656	0.63
638547.5448	7040170.717	1178.965691	12.600656	0.63
638547.5718	7040170.759	1178.964142	12.600656	0.63
638547.5968	7040170.802	1178.95488	12.600656	0.63
638547.6212	7040170.846	1178.948843	12.600656	0.63
638547.6441	7040170.89	1178.95212	12.40377	0.6202
638547.6671	7040170.935	1178.955397	12.40377	0.6202
638547.69	7040170.979	1178.958675	12.206885	0.6103
638547.7129	7040171.023	1178.961952	12.206885	0.6103
638547.7358	7040171.068	1178.965229	12.206885	0.6103
638547.7588	7040171.112	1178.968506	12.206885	0.6103
638547.7915	7040171.15	1178.967135	12.206885	0.6103
638547.8259	7040171.186	1178.964939	11.813115	0.5907
638547.8603	7040171.222	1178.962744	12.600656	0.63
638547.8948	7040171.259	1178.960548	12.600656	0.63
638547.9292	7040171.295	1178.958353	12.994426	0.6497
638547.9636	7040171.331	1178.956157	13.388197	0.6694
638547.9915	7040171.373	1178.946469	13.781967	0.6891
638548.019	7040171.414	1178.936202	13.978852	0.6989
638548.0464	7040171.456	1178.925936	13.978852	0.6989
638548.0738	7040171.498	1178.91567	13.978852	0.6989
638548.1012	7040171.54	1178.905404	13.978852	0.6989
638548.1286	7040171.582	1178.895137	13.781967	0.6891
638548.1609	7040171.62	1178.874236	13.388197	0.6694
638548.1953	7040171.656	1178.848654	13.388197	0.6694
638548.2296	7040171.692	1178.823072	12.994426	0.6497
638548.2637	7040171.729	1178.80569	12.994426	0.6497
638548.2977	7040171.765	1178.78833	12.600656	0.63
638548.3318	7040171.802	1178.77097	12.40377	0.6202
638548.3658	7040171.839	1178.75361	12.6105	0.6305
638548.3999	7040171.875	1178.736251	12.67055	0.6335
638548.4277	7040171.916	1178.724131	12.7306	0.6365
638548.4466	7040171.962	1178.719568	12.7306	0.6365
638548.4655	7040172.008	1178.715005	12.994426	0.6497
638548.4844	7040172.055	1178.710441	13.191311	0.6596
638548.5033	7040172.101	1178.705878	13.388197	0.6694
638548.5269	7040172.145	1178.692777	13.388197	0.6694
638548.5538	7040172.187	1178.673704	13.388197	0.6694
638548.5807	7040172.229	1178.654633	13.388197	0.6694
638548.6075	7040172.271	1178.635563	13.388197	0.6694
638548.6335	7040172.314	1178.623478	13.388197	0.6694
638548.6592	7040172.357	1178.613589	13.388197	0.6694
638548.6849	7040172.4	1178.603701	13.388197	0.6694
638548.7106	7040172.443	1178.593813	13.191311	0.6596
638548.7381	7040172.484	1178.576252	13.191311	0.6596
638548.7664	7040172.526	1178.555642	13.0909	0.6545
638548.7977	7040172.564	1178.55443	13.0909	0.6545
638548.8365	7040172.596	1178.600818	13.0909	0.6545
638548.8752	7040172.627	1178.647202	13.0909	0.6545
638548.9139	7040172.659	1178.693586	13.0909	0.6545
638548.9527	7040172.691	1178.73997	13.0909	0.6545
638548.9914	7040172.722	1178.786354	13.0909	0.6545
638549.0302	7040172.754	1178.832745	13.11492	0.6557
638549.0689	7040172.785	1178.879129	13.13894	0.6569
638549.1077	7040172.817	1178.925514	13.16296	0.6581
638549.1464	7040172.849	1178.971898	13.18698	0.6593
638549.1851	7040172.88	1179.018282	13.211	0.6606
638549.2239	7040172.912	1179.064669	13.211	0.6606
638549.2626	7040172.943	1179.111053	13.211	0.6606
638549.3014	7040172.975	1179.157438	13.211	0.6606
638549.3401	7040173.007	1179.203822	13.211	0.6606
638549.3788	7040173.038	1179.250206	13.211	0.6606
638549.4176	7040173.07	1179.296593	13.211	0.6606
638549.4563	7040173.101	1179.342978	13.211	0.6606
638549.4951	7040173.133	1179.389362	13.211	0.6606
638549.5338	7040173.165	1179.435746	13.211	0.6606
638549.5726	7040173.196	1179.48213	13.211	0.6606
638549.6113	7040173.228	1179.528517	13.27105	0.6636
638549.65	7040173.26	1179.574902	13.3311	0.6666
638549.6888	7040173.291	1179.621286	13.3311	0.6666
638549.7275	7040173.323	1179.66767	13.3311	0.6666
638549.7663	7040173.354	1179.714054	13.3311	0.6666
638549.7651	7040173.355	1179.715459	13.3311	0.6666
638549.756	7040173.373	1179.683442	13.3311	0.6666
638549.7666	7040173.422	1179.658094	13.3311	0.6666
638549.7717	7040173.472	1179.639786	12.994426	0.6497
638549.7698	7040173.522	1179.630294	13.191311	0.6596
638549.7958	7040173.564	1179.606484	13.388197	0.6694
638549.8227	7040173.606	1179.582216	13.781967	0.6891
638549.8496	7040173.648	1179.55795	13.978852	0.6989
638549.8766	7040173.69	1179.533683	13.978852	0.6989
638549.9035	7040173.733	1179.509416	13.978852	0.6989
638549.9304	7040173.775	1179.485148	13.978852	0.6989
638549.9573	7040173.817	1179.46088	13.978852	0.6989
638549.9843	7040173.859	1179.436613	13.978852	0.6989
638550.0112	7040173.901	1179.412346	13.978852	0.6989
638550.0381	7040173.943	1179.388079	13.978852	0.6989
638550.065	7040173.985	1179.36381	13.978852	0.6989
638550.092	7040174.028	1179.339544	13.978852	0.6989
638550.1193	7040174.069	1179.311868	13.978852	0.6989
638550.1467	7040174.111	1179.283793	13.978852	0.6989
638550.1741	7040174.153	1179.255718	13.4512	0.6726
638550.2032	7040174.193	1179.228188	13.491233	0.6746
638550.2381	7040174.229	1179.20252	13.531267	0.6766
638550.2731	7040174.265	1179.176855	13.781967	0.6891
638550.3081	7040174.301	1179.151187	13.781967	0.6891
638550.3431	7040174.336	1179.12552	13.781967	0.6891
638550.378	7040174.372	1179.099852	13.88041	0.694
638550.413	7040174.408	1179.074185	13.978852	0.6989
638550.4442	7040174.447	1179.056614	14.077295	0.7039
638550.473	7040174.488	1179.04437	14.175738	0.7088
638550.5018	7040174.529	1179.032125	14.372623	0.7186
638550.5306	7040174.569	1179.019879	14.569508	0.7285
638550.5593	7040174.61	1179.007634	14.766393	0.7383
638550.5881	7040174.651	1178.995389	14.963278	0.7482
638550.6169	7040174.692	1178.983145	14.963278	0.7482
638550.6457	7040174.733	1178.9709	15.357049	0.7679
638550.6683	7040174.777	1178.954863	15.750819	0.7875
638550.6831	7040174.825	1178.933932	15.750819	0.7875
638550.6978	7040174.872	1178.913001	15.947705	0.7974
638550.7126	7040174.92	1178.892071	15.947705	0.7974
638550.7273	7040174.968	1178.871141	15.947705	0.7974
638550.7421	7040175.016	1178.850209	15.947705	0.7974
638550.7568	7040175.064	1178.829279	15.947705	0.7974
638550.7716	7040175.111	1178.808348	15.947705	0.7974
638550.7929	7040175.156	1178.7884	15.750819	0.7875
638550.8164	7040175.2	1178.768788	15.553934	0.7777
638550.8399	7040175.245	1178.749177	14.963278	0.7482
638550.8622	7040175.289	1178.731864	14.963278	0.7482
638550.8686	7040175.339	1178.743671	14.963278	0.7482
638550.8759	7040175.388	1178.754941	14.963278	0.7482
638550.9034	7040175.43	1178.753479	14.963278	0.7482
638550.9309	7040175.471	1178.752018	15.357049	0.7679
638550.9584	7040175.513	1178.750556	15.357049	0.7679
638550.9859	7040175.555	1178.749095	15.357049	0.7679
638551.0086	7040175.6	1178.738746	15.160164	0.758
638551.031	7040175.644	1178.727779	15.160164	0.758
638551.0534	7040175.689	1178.716811	14.963278	0.7482
638551.0758	7040175.734	1178.705845	14.732267	0.7366
638551.0982	7040175.778	1178.694878	14.7723	0.7386
638551.1206	7040175.823	1178.683911	14.812333	0.7406
638551.143	7040175.868	1178.672944	14.852367	0.7426
638551.1654	7040175.912	1178.661977	14.8924	0.7446
638551.1832	7040175.959	1178.653191	14.922425	0.7461
638551.1992	7040176.006	1178.645217	14.95245	0.7476
638551.2152	7040176.054	1178.637243	14.982475	0.7491
638551.2312	7040176.101	1178.629268	15.160164	0.758
638551.2473	7040176.149	1178.621294	15.357049	0.7679
638551.2633	7040176.196	1178.61332	15.553934	0.7777
638551.2793	7040176.243	1178.605346	15.553934	0.7777
638551.2953	7040176.291	1178.597372	15.553934	0.7777
