site_location,source_site_identifier,lat,lon,thaw_depth,pf_observed,date,source_active_layer_text,source_period,site_id,obs_limit,method,source,pf_depth,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_source_unit_or_code_recoded
British Columbia,46,58.56666666666667,-122.76666666666667,53.0,1,1964-07-01,53,09/1964,British Columbia | 46,,unknown,Smith_Burgess_2002,53.0,True,True,True
British Columbia,48,58.65,-122.81666666666666,61.0,1,1964-07-01,61,09/1964,British Columbia | 48,,unknown,Smith_Burgess_2002,61.0,True,True,True
British Columbia,42,58.38333333333333,-122.85,43.0,1,1964-07-01,43,09/1964,British Columbia | 42,,unknown,Smith_Burgess_2002,43.0,True,True,True
British Columbia,35,58.166666666666664,-122.85,56.0,1,1964-07-01,56,09/1964,British Columbia | 35,,unknown,Smith_Burgess_2002,56.0,True,True,True
British Columbia,36,58.21666666666667,-122.88333333333334,114.0,1,1964-07-01,114,09/1964,British Columbia | 36,,unknown,Smith_Burgess_2002,114.0,True,True,True
British Columbia,41,58.333333333333336,-122.91666666666667,56.0,1,1964-07-01,56,09/1964,British Columbia | 41,,unknown,Smith_Burgess_2002,56.0,True,True,True
British Columbia,38,58.25,-122.91666666666667,61.0,1,1964-07-01,61,09/1964,British Columbia | 38,,unknown,Smith_Burgess_2002,61.0,True,True,True
British Columbia,41,58.333333333333336,-122.91666666666667,61.0,1,1964-07-01,61,09/1964,British Columbia | 41,,unknown,Smith_Burgess_2002,61.0,True,True,True
British Columbia,33,58.016666666666666,-122.98333333333333,69.0,1,1964-07-01,69,09/1964,British Columbia | 33,,unknown,Smith_Burgess_2002,69.0,True,True,True
British Columbia,32,58.016666666666666,-122.98333333333333,69.0,1,1964-07-01,69,09/1964,British Columbia | 32,,unknown,Smith_Burgess_2002,69.0,True,True,True
British Columbia,39,58.266666666666666,-123.0,46.0,1,1964-07-01,46,09/1964,British Columbia | 39,,unknown,Smith_Burgess_2002,46.0,True,True,True
British Columbia,54,58.8,-123.5,46.0,1,1964-07-01,46,09/1964,British Columbia | 54,,unknown,Smith_Burgess_2002,46.0,True,True,True
British Columbia,52,58.8,-123.5,58.0,1,1964-07-01,58,09/1964,British Columbia | 52,,unknown,Smith_Burgess_2002,58.0,True,True,True
British Columbia,50,58.8,-123.5,69.0,1,1964-07-01,69,09/1964,British Columbia | 50,,unknown,Smith_Burgess_2002,69.0,True,True,True
British Columbia,56,58.56666666666667,-124.15,61.0,1,1964-07-01,61,09/1964,British Columbia | 56,,unknown,Smith_Burgess_2002,61.0,True,True,True
British Columbia,58,58.55,-124.7,53.0,1,1964-07-01,53,09/1964,British Columbia | 58,,unknown,Smith_Burgess_2002,53.0,True,True,True
British Columbia,60,58.61666666666667,-124.95,64.0,1,1964-07-01,64,09/1964,British Columbia | 60,,unknown,Smith_Burgess_2002,64.0,True,True,True
British Columbia,62,58.61666666666667,-124.95,61.0,1,1964-07-01,61,09/1964,British Columbia | 62,,unknown,Smith_Burgess_2002,61.0,True,True,True
British Columbia,61,58.61666666666667,-124.95,61.0,1,1964-07-01,61,09/1964,British Columbia | 61,,unknown,Smith_Burgess_2002,61.0,True,True,True
British Columbia,122,58.38333333333333,-130.0,53.0,1,1964-07-01,53,09/1964,British Columbia | 122,,unknown,Smith_Burgess_2002,53.0,True,True,True
British Columbia,73,59.61666666666667,-127.26666666666667,53.0,1,1964-07-01,53,09/1964,British Columbia | 73,,unknown,Smith_Burgess_2002,53.0,True,True,True
British Columbia,71,59.61666666666667,-127.26666666666667,53.0,1,1964-07-01,53,09/1964,British Columbia | 71,,unknown,Smith_Burgess_2002,53.0,True,True,True
British Columbia,75,60.0,-127.63333333333334,46.0,1,1964-07-01,46,09/1964,British Columbia | 75,,unknown,Smith_Burgess_2002,46.0,True,True,True
British Columbia,78,60.0,-128.0,53.0,1,1964-07-01,53,09/1964,British Columbia | 78,,unknown,Smith_Burgess_2002,53.0,True,True,True
Beaverlodge,-,55.21666666666667,-119.43333333333334,60.0,1,1961-07-01,50-60,09/1961,Beaverlodge,,unknown,Smith_Burgess_2002,60.0,True,True,True
Alberta,87,57.8,-117.66666666666667,84.0,1,1962-07-01,84,09/1962,Alberta | 87,,unknown,Smith_Burgess_2002,84.0,True,True,True
Alberta,86,57.8,-117.66666666666667,91.0,1,1962-07-01,91,09/1962,Alberta | 86,,unknown,Smith_Burgess_2002,91.0,True,True,True
Alberta,88,57.78333333333333,-117.68333333333334,84.0,1,1962-07-01,84,09/1962,Alberta | 88,,unknown,Smith_Burgess_2002,84.0,True,True,True
Alberta,85,58.016666666666666,-117.16666666666667,76.0,1,1962-07-01,76,09/1962,Alberta | 85,,unknown,Smith_Burgess_2002,76.0,True,True,True
Alberta,83,58.8,-117.38333333333334,61.0,1,1962-07-01,61,09/1962,Alberta | 83,,unknown,Smith_Burgess_2002,61.0,True,True,True
Alberta,41,59.983333333333334,-116.98333333333333,61.0,1,1962-07-01,61,09/1962,Alberta | 41,,unknown,Smith_Burgess_2002,61.0,True,True,True
Alberta,44,59.95,-117.01666666666667,76.0,1,1962-07-01,76,09/1962,Alberta | 44,,unknown,Smith_Burgess_2002,76.0,True,True,True
Alberta,49,59.93333333333333,-117.03333333333333,66.0,1,1962-07-01,66,09/1962,Alberta | 49,,unknown,Smith_Burgess_2002,66.0,True,True,True
Alberta,55,59.86666666666667,-117.05,243.0,1,1962-07-01,243,09/1962,Alberta | 55,,unknown,Smith_Burgess_2002,243.0,True,True,True
Alberta,54,59.88333333333333,-117.05,61.0,1,1962-07-01,61,09/1962,Alberta | 54,,unknown,Smith_Burgess_2002,61.0,True,True,True
Alberta,53,59.9,-117.05,61.0,1,1962-07-01,61,09/1962,Alberta | 53,,unknown,Smith_Burgess_2002,61.0,True,True,True
Alberta,56,59.81666666666667,-117.06666666666666,76.0,1,1962-07-01,76,09/1962,Alberta | 56,,unknown,Smith_Burgess_2002,76.0,True,True,True
Alberta,58,59.8,-117.06666666666666,61.0,1,1962-07-01,61,09/1962,Alberta | 58,,unknown,Smith_Burgess_2002,61.0,True,True,True
Alberta,57,59.81666666666667,-117.06666666666666,61.0,1,1962-07-01,61,09/1962,Alberta | 57,,unknown,Smith_Burgess_2002,61.0,True,True,True
Alberta,62,59.68333333333333,-117.15,130.0,1,1962-07-01,61-130,09/1962,Alberta | 62,,unknown,Smith_Burgess_2002,130.0,True,True,True
Alberta,63,59.63333333333333,-117.18333333333334,61.0,1,1962-07-01,61,09/1962,Alberta | 63,,unknown,Smith_Burgess_2002,61.0,True,True,True
Alberta,64,59.61666666666667,-117.18333333333334,76.0,1,1962-07-01,76,09/1962,Alberta | 64,,unknown,Smith_Burgess_2002,76.0,True,True,True
Alberta,68,59.516666666666666,-117.18333333333334,61.0,1,1962-07-01,61,09/1962,Alberta | 68,,unknown,Smith_Burgess_2002,61.0,True,True,True
Alberta,65,59.583333333333336,-117.18333333333334,61.0,1,1962-07-01,61,09/1962,Alberta | 65,,unknown,Smith_Burgess_2002,61.0,True,True,True
Alberta,66,59.56666666666667,-117.2,366.0,1,1962-07-01,366,09/1962,Alberta | 66,,unknown,Smith_Burgess_2002,366.0,True,True,True
Alberta,69,59.43333333333333,-117.21666666666667,51.0,1,1962-07-01,51,09/1962,Alberta | 69,,unknown,Smith_Burgess_2002,51.0,True,True,True
Alberta,72,59.36666666666667,-117.3,61.0,1,1962-07-01,61,09/1962,Alberta | 72,,unknown,Smith_Burgess_2002,61.0,True,True,True
Alberta,73,59.28333333333333,-117.35,61.0,1,1962-07-01,61,09/1962,Alberta | 73,,unknown,Smith_Burgess_2002,61.0,True,True,True
Alberta,74,59.2,-117.51666666666667,61.0,1,1962-07-01,61,09/1962,Alberta | 74,,unknown,Smith_Burgess_2002,61.0,True,True,True
Alberta,77,59.13333333333333,-117.61666666666666,183.0,1,1962-07-01,183,09/1962,Alberta | 77,,unknown,Smith_Burgess_2002,183.0,True,True,True
Alberta,80,59.0,-117.63333333333334,61.0,1,1962-07-01,61,09/1962,Alberta | 80,,unknown,Smith_Burgess_2002,61.0,True,True,True
Alberta,76,59.166666666666664,-117.63333333333334,61.0,1,1962-07-01,61,09/1962,Alberta | 76,,unknown,Smith_Burgess_2002,61.0,True,True,True
Saskatchewan,34,53.9,-105.95,76.0,1,1963-07-01,76,09/1963,Saskatchewan | 34,,unknown,Smith_Burgess_2002,76.0,True,True,True
Saskatchewan,34,53.9,-105.95,46.0,1,1963-07-01,46,09/1963,Saskatchewan | 34,,unknown,Smith_Burgess_2002,46.0,True,True,True
Saskatchewan,116,54.61666666666667,-101.91666666666667,61.0,1,1963-07-01,53-61,09/1963,Saskatchewan | 116,,unknown,Smith_Burgess_2002,61.0,True,True,True
Saskatchewan,119,54.65,-102.0,61.0,1,1963-07-01,61,09/1963,Saskatchewan | 119,,unknown,Smith_Burgess_2002,61.0,True,True,True
Saskatchewan,115,54.666666666666664,-102.03333333333333,53.0,1,1963-07-01,53,09/1963,Saskatchewan | 115,,unknown,Smith_Burgess_2002,53.0,True,True,True
Saskatchewan,114,54.68333333333333,-102.16666666666667,84.0,1,1963-07-01,84,09/1963,Saskatchewan | 114,,unknown,Smith_Burgess_2002,84.0,True,True,True
Saskatchewan,111,54.7,-102.3,53.0,1,1963-07-01,53,09/1963,Saskatchewan | 111,,unknown,Smith_Burgess_2002,53.0,True,True,True
Saskatchewan,109,54.71666666666667,-102.33333333333333,61.0,1,1963-07-01,61,09/1963,Saskatchewan | 109,,unknown,Smith_Burgess_2002,61.0,True,True,True
Saskatchewan,108,54.8,-102.46666666666667,53.0,1,1963-07-01,53,09/1963,Saskatchewan | 108,,unknown,Smith_Burgess_2002,53.0,True,True,True
Saskatchewan,106,54.733333333333334,-102.58333333333333,61.0,1,1963-07-01,61,09/1963,Saskatchewan | 106,,unknown,Smith_Burgess_2002,61.0,True,True,True
Saskatchewan,117,54.833333333333336,-102.58333333333333,61.0,1,1963-07-01,61,09/1963,Saskatchewan | 117,,unknown,Smith_Burgess_2002,61.0,True,True,True
Saskatchewan,118,54.85,-102.58333333333333,69.0,1,1963-07-01,69,09/1963,Saskatchewan | 118,,unknown,Smith_Burgess_2002,69.0,True,True,True
Saskatchewan,105,54.71666666666667,-102.76666666666667,61.0,1,1963-07-01,61,09/1963,Saskatchewan | 105,,unknown,Smith_Burgess_2002,61.0,True,True,True
Saskatchewan,100,54.55,-103.5,61.0,1,1963-07-01,61,09/1963,Saskatchewan | 100,,unknown,Smith_Burgess_2002,61.0,True,True,True
Saskatchewan,98,54.483333333333334,-103.55,61.0,1,1963-07-01,61,09/1963,Saskatchewan | 98,,unknown,Smith_Burgess_2002,61.0,True,True,True
Saskatchewan,97,54.483333333333334,-103.55,76.0,1,1963-07-01,76,09/1963,Saskatchewan | 97,,unknown,Smith_Burgess_2002,76.0,True,True,True
Saskatchewan,90,54.55,-104.05,61.0,1,1963-07-01,61,09/1963,Saskatchewan | 90,,unknown,Smith_Burgess_2002,61.0,True,True,True
Saskatchewan,84,54.36666666666667,-104.53333333333333,76.0,1,1963-07-01,76,09/1963,Saskatchewan | 84,,unknown,Smith_Burgess_2002,76.0,True,True,True
Saskatchewan,78,54.2,-104.7,61.0,1,1963-07-01,61,09/1963,Saskatchewan | 78,,unknown,Smith_Burgess_2002,61.0,True,True,True
Saskatchewan,94,54.483333333333334,-104.83333333333333,53.0,1,1963-07-01,53,09/1963,Saskatchewan | 94,,unknown,Smith_Burgess_2002,53.0,True,True,True
Saskatchewan,96,54.483333333333334,-104.83333333333333,69.0,1,1963-07-01,69,09/1963,Saskatchewan | 96,,unknown,Smith_Burgess_2002,69.0,True,True,True
Saskatchewan,48,54.96666666666667,-105.33333333333333,61.0,1,1963-07-01,61,09/1963,Saskatchewan | 48,,unknown,Smith_Burgess_2002,61.0,True,True,True
Saskatchewan,39,54.333333333333336,-105.5,61.0,1,1963-07-01,61,09/1963,Saskatchewan | 39,,unknown,Smith_Burgess_2002,61.0,True,True,True
Saskatchewan,70,55.483333333333334,-105.0,46.0,1,1963-07-01,46,09/1963,Saskatchewan | 70,,unknown,Smith_Burgess_2002,46.0,True,True,True
Saskatchewan,55,55.483333333333334,-105.0,61.0,1,1963-07-01,61,09/1963,Saskatchewan | 55,,unknown,Smith_Burgess_2002,61.0,True,True,True
Saskatchewan,64,55.483333333333334,-105.0,46.0,1,1963-07-01,46,09/1963,Saskatchewan | 64,,unknown,Smith_Burgess_2002,46.0,True,True,True
Saskatchewan,76,55.483333333333334,-105.0,61.0,1,1963-07-01,61,09/1963,Saskatchewan | 76,,unknown,Smith_Burgess_2002,61.0,True,True,True
Saskatchewan,63,55.483333333333334,-105.0,76.0,1,1963-07-01,76,09/1963,Saskatchewan | 63,,unknown,Smith_Burgess_2002,76.0,True,True,True
Saskatchewan,58,55.483333333333334,-105.0,76.0,1,1963-07-01,76,09/1963,Saskatchewan | 58,,unknown,Smith_Burgess_2002,76.0,True,True,True
Saskatchewan,57,55.483333333333334,-105.0,61.0,1,1963-07-01,61,09/1963,Saskatchewan | 57,,unknown,Smith_Burgess_2002,61.0,True,True,True
Saskatchewan,56,55.483333333333334,-105.0,91.0,1,1963-07-01,91,09/1963,Saskatchewan | 56,,unknown,Smith_Burgess_2002,91.0,True,True,True
Saskatchewan,69,55.483333333333334,-105.0,76.0,1,1963-07-01,76,09/1963,Saskatchewan | 69,,unknown,Smith_Burgess_2002,76.0,True,True,True
Saskatchewan,60,55.483333333333334,-105.0,66.0,1,1963-07-01,66,09/1963,Saskatchewan | 60,,unknown,Smith_Burgess_2002,66.0,True,True,True
