lat,lon,pf_observed,thaw_depth,obs_limit,site_id,source,date,pf_depth,method
65.83055468,-156.3629536,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82624149,-156.3746223,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82697632,-156.3785896,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.8254788,-156.3733962,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82774328,-156.3706317,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82846814,-156.3750625,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82778553,-156.368264,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82813369,-156.3729197,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82850793,-156.3773575,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82691207,-156.3369024,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82606363,-156.3399855,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82742229,-156.3350593,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.79719544,-156.3666254,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.79805718,-156.3676257,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.7990542,-156.3672463,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.72735809,-156.5307079,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.72942946,-156.5329116,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.73201323,-156.5363323,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.73302974,-156.5379262,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.73099435,-156.5344243,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.73440825,-156.5392071,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.72823572,-156.5318467,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.72559637,-156.4764505,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.72698321,-156.4769025,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.72426385,-156.4761563,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.72790254,-156.4748445,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.72492713,-156.4786054,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.72680971,-156.4745577,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.726179,-156.4781996,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.67235706,-156.4490943,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.66909457,-156.4560804,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.67006194,-156.4530202,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.6710893,-156.4510478,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.67145362,-156.4488199,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.66841303,-156.4585025,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.67326949,-156.4470139,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.674734,-156.4449642,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.70034985,-156.3972112,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.70119786,-156.3885537,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.70165062,-156.3914727,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69959624,-156.3937168,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.70264667,-156.3908906,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.70089619,-156.3946268,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.70190684,-156.3936387,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.70077656,-156.3907698,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.70318028,-156.3818661,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.70116582,-156.3851245,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.70188235,-156.3825888,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.7020969,-156.3804141,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.70368277,-156.3797179,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.70289051,-156.3777318,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69699732,-156.3826271,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69591152,-156.3816184,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69674942,-156.3804814,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69799472,-156.3544173,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69712858,-156.3563802,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69620237,-156.3535787,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69766604,-156.350952,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69585399,-156.3612228,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69578191,-156.3589155,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69715256,-156.3594021,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69530279,-156.3570533,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.66310283,-156.4328987,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.66415179,-156.4315727,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.80432618,-156.36243,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.77999976,-156.4377923,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.77363609,-156.4624112,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.77168806,-156.4680591,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.77111423,-156.4699472,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.77248133,-156.4666757,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.75109619,-156.5448967,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.75049314,-156.5472757,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.75126133,-156.5424822,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.74993944,-156.549153,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.75140414,-156.5494606,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.75172508,-156.5472171,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.75337954,-156.5444882,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.75215062,-156.545242,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.75235747,-156.5501034,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.75263094,-156.5480104,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.70211164,-156.4049812,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.70265012,-156.4076948,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.70311417,-156.4118125,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.65610422,-156.4773518,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.65543292,-156.4794743,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61476754,-156.5364786,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61563585,-156.532177,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61563322,-156.5295248,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61492052,-156.5342503,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.6147069,-156.5319828,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61755579,-156.5334243,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.6184586,-156.5353567,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61767461,-156.536556,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61448893,-156.5160369,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61409835,-156.5194549,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61503861,-156.5179117,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61394992,-156.5105625,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61492305,-156.5134143,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61494643,-156.5103723,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61399927,-156.5132681,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61668422,-156.4912129,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61692459,-156.4890689,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61772906,-156.4902306,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61504733,-156.5019289,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61555878,-156.4992498,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.66851187,-156.3712795,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.66936884,-156.3687376,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.67021521,-156.3697063,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.66871863,-156.3749679,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.6678108,-156.3736807,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.66687081,-156.3728259,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.66941924,-156.3537055,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.66583945,-156.3591512,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.67105717,-156.3529512,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.66807547,-156.3555927,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.67236431,-156.3540568,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.66723361,-156.3565465,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.64720943,-156.3630925,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.64820935,-156.3792738,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.64909223,-156.3751981,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.64945486,-156.3687717,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.64948339,-156.3710617,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.64971697,-156.3658204,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.64862334,-156.3698743,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.65079996,-156.3776795,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.6480435,-156.3764174,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.64877878,-156.3809795,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.75913154,-156.5149484,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.75973827,-156.5199524,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.76054261,-156.5210885,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.76059535,-156.5178692,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.75929902,-156.5179853,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.75815672,-156.5174649,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.75999983,-156.5161576,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.76063308,-156.5235018,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.75456739,-156.5500723,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.75278036,-156.5565899,1,,,polysample,Koyukuk_2018,2018-07-08,,tp
