site_id,source,date,lat,lon,pf_observed,pf_depth,pf_depth_std,n_measurements,thaw_depth,obs_limit,method,timeSinceFire,org_thick,burn_unburn,measured_thaw_depth,measured_date
e,Talucci_2024,2019-10-03,61.2403,-163.223,1,68.44,21.75,45,68.44,,unknown,47,25.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-15,61.2406,-162.7427,1,83.0,10.6,12,83.0,,unknown,3,-999.0,burned,,
c,Talucci_2024,2018-10-15,61.2407,-163.207,1,63.06,8.82,90,63.06,,unknown,46,25.0,burned,,
YKD,Talucci_2024,2015-10-27,61.24114,-163.1273,1,67.27,7.45,15,67.27,,unknown,0,,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-15,61.2412,-162.7335,1,76.92,23.43,12,76.92,,unknown,3,-999.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-15,61.2418,-162.7242,1,86.75,31.74,12,86.75,,unknown,3,-999.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-15,61.2451,-162.7439,1,67.42,10.0,12,67.42,,unknown,3,-999.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.2457,-162.7347,1,50.2,3.27,5,50.2,,unknown,2,45.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.2464,-162.726,1,60.8,17.74,5,60.8,,unknown,2,7.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.2495,-162.7452,1,67.5,8.35,4,67.5,,unknown,2,26.0,burned,,
YKD,Talucci_2024,2017-10-05,61.24963,-163.207,1,51.78,5.59,9,51.78,,unknown,45,,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.2504,-162.7362,1,70.0,8.63,5,70.0,,unknown,2,19.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.2509,-162.7264,1,51.0,12.54,4,51.0,,unknown,2,13.0,burned,,
YKD,Talucci_2024,2015-10-26,61.25651,-163.1096,1,54.8,6.16,15,54.8,,unknown,,,unburned,,
YKD,Talucci_2024,2017-10-05,61.25849,-163.247,1,51.56,2.6,9,51.56,,unknown,,,unburned,,
YKD,Talucci_2024,2016-10-03,61.25923,-162.629,1,68.65,5.02,93,68.65,,unknown,,,unburned,,
