site_id,lat,lon,date,pf_observed,pf_depth,thaw_depth,obs_limit,method,source,candidate_type,absence_latitude_threshold_abs_ge,pedon_key,site_key,pedlabsampnum,upedonid,usiteid,country_key,state_key,county_key,mlra_key,ssa_key,frozen_horizons,all_horizons,n_frozen_layers,n_layers,corr_classification_name,corr_taxorder,corr_taxsuborder,corr_taxgrtgroup,corr_taxsubgrp,samp_classification_name,samp_taxorder,samp_taxsuborder,samp_taxgrtgroup,samp_taxsubgrp,SSL_classification_name,SSL_taxorder,SSL_taxsuborder,SSL_taxgrtgroup,SSL_taxsubgrp
S2002AK174001,63.3524437,-142.9833069,2002-06-24,0,,,62.0,pit,NCSS_Lab_Data_Mart,absence,55.0,29388,29315,02N1035,S2002AK174001,S2002AK174001,244,3946,4282.0,,,,Oi|Oe|A|Bw|BC|C1|2C2,0,7,,,,,,"Coarse-loamy over sandy or sandy-skeletal, mixed, active, subgelic Aquic Haplorthels",gelisols,orthels,haplorthels,aquic haplorthels,,,,,
S2002AK174002,63.3533325,-142.9818115,2002-06-24,0,,,100.0,pit,NCSS_Lab_Data_Mart,absence,55.0,29389,29316,02N1036,S2002AK174002,S2002AK1740011,244,3946,4282.0,,8187.0,,Oe|Bw|BC1|BC2|C1|2C2,0,6,,,,,,"Coarse-loamy over sandy or sandy-skeletal, mixed, active, subgelic Aquic Dystrocryepts",inceptisols,cryepts,dystrocryepts,aquic dystrocryepts,,,,,
S2002AK174003,63.7819443,-145.081665,2002-06-25,0,,,105.0,pit,NCSS_Lab_Data_Mart,absence,55.0,29390,29317,02N1037,S2002AK174003,S2002AK174003,244,3946,4282.0,,8187.0,,Ap1|BAjj|Bw|B/Ab|B/Ab|Bw/Ab|BC|C1|C2,0,9,,,,,,"Coarse-silty, mixed, superactive, subgelic Aquic Dystrocryepts",inceptisols,cryepts,dystrocryepts,aquic dystrocryepts,,,,,
S2002AK174004,64.2264481,-149.3728333,2002-06-26,0,,,100.0,pit,NCSS_Lab_Data_Mart,absence,55.0,29391,29318,02N1038,S2002AK174004,S2002AK174004,244,3946,4266.0,11321.0,11224.0,,Ap|Bw|BC|2BC|2C,0,5,"Coarse-loamy over sandy or sandy-sketetal, mixed, superactive Typic Haplocryept",inceptisols,cryepts,haplocryepts,typic haplocryepts,"Coarse-loamy over sandy or sandy-skeletal, mixed, active, subgelic Fluventic Dystrocryepts",inceptisols,cryepts,dystrocryepts,fluventic dystrocryepts,,,,,
S2002AK176001,62.398613,-142.4855499,2002-06-22,0,,,43.0,pit,NCSS_Lab_Data_Mart,absence,55.0,29392,29319,02N1039,S2002AK176001,S2002AK176001,244,3946,4283.0,,,,Oi|Oe|E|Cw|2C,0,5,,,,,,"Clayey over loamy-skeletal, mixed, superactive, subgelic Typic Historthels",gelisols,orthels,historthels,typic historthels,,,,,
S2003AK090002,65.0998306,-147.8510742,2003-08-11,0,,,120.0,pit,NCSS_Lab_Data_Mart,absence,55.0,31400,31281,04N0261,S2003AK090002,S2003AK090002,244,3946,4268.0,7803.0,11144.0,,Oi|A|Bw1|Bw2|BC|C,0,6,,,,,,"Coarse-loamy, mixed, active, subgelic Typic Dystrocryept",inceptisols,cryepts,dystrocryepts,typic dystrocryepts,,,,,
S2003AK090008,64.8666687,-147.8666687,2003-09-06,0,,,150.0,pit,NCSS_Lab_Data_Mart,absence,55.0,31686,31567,04N0278,S2003AK090008,S2003AK090008,244,3946,4268.0,7803.0,,,Oe|A|Bw1|Bw2|BC|C,0,6,,,,,,"Coarse-silty, mixed, active, subgelic Typic Dystrocryepts",inceptisols,cryepts,dystrocryepts,typic dystrocryepts,"Coarse-silty, isotic, subgelic Typic Eutrogelept",inceptisols,gelepts,eutrogelepts,typic eutrogelepts
S2003AK090009,64.7698364,-148.2648163,2003-10-11,0,,,62.0,pit,NCSS_Lab_Data_Mart,absence,55.0,31688,31569,04N0280,S2003AK090009,S2003AK090009,244,3946,4268.0,7803.0,8185.0,,Oe|A|Bw1|Bw2|BC,0,5,,,,,,"Coarse-silty, mixed, active, subgelic Typic Dystrocryept",inceptisols,cryepts,dystrocryepts,typic dystrocryepts,"Loamy, isotic, subgelic Lithic Eutrogelept",inceptisols,gelepts,eutrogelepts,lithic eutrogelepts
S2003AK090010,64.8039474,-148.3311462,2003-10-11,0,,,130.0,pit,NCSS_Lab_Data_Mart,absence,55.0,31689,31570,04N0281,S2003AK090010,S2003AK090010,244,3946,4268.0,7803.0,8185.0,,Oi|Oe|B/A|Bw1|Bw2|Bw3|BC,0,7,,,,,,"Coarse-silty, mixed, active, subgelic Typic Dystrocryepts",inceptisols,cryepts,dystrocryepts,typic dystrocryepts,"Coarse-silty, isotic, subgelic Typic Eutrogelept",inceptisols,gelepts,eutrogelepts,typic eutrogelepts
S2003AK240001,63.9013901,-146.7819519,2003-07-30,0,,,100.0,pit,NCSS_Lab_Data_Mart,absence,55.0,32467,32342,04N0086,S2003AK240001,03AK240001,244,3946,4282.0,7800.0,,,Oi|AE|2Bw|2BC1|2BC2|2C,0,6,,,,,,Typic Dystrocryepts,inceptisols,cryepts,dystrocryepts,typic dystrocryepts,,,,,
