    175.42      6.76      7.48      2.84       .89      -.17      -.80     -1.34     -1.77     -2.01     -2.57     -3.76     -4.73     -5.74
    175.50      7.08      7.73      3.62      1.32      -.12      -.77     -1.35     -1.76     -1.98     -2.58     -3.77     -4.74     -5.70
    175.58      6.92      8.38      4.08      1.63      -.08      -.77     -1.33     -1.76     -1.98     -2.58     -3.77     -4.72     -5.70
    175.67     12.13     13.14      5.75      2.21      -.05      -.76     -1.32     -1.75     -1.99     -2.55     -3.73     -4.71     -5.67
    175.75      8.77     11.06      5.79      2.56      -.00      -.74     -1.32     -1.75     -1.99     -2.55     -3.74     -4.71     -5.67
    175.83      5.31      7.46      4.92      2.60       .05      -.74     -1.32     -1.75     -1.95     -2.55     -3.74     -4.71     -5.67
    175.92      3.66      5.91      4.19      2.44       .06      -.74     -1.32     -1.75     -1.94     -2.54     -3.73     -4.71     -5.67
    176.00      1.37      3.14      3.10      2.11       .05      -.73     -1.31     -1.74     -1.96     -2.54     -3.72     -4.70     -5.66
    176.08       .39      1.67      2.17      1.67       .00      -.72     -1.30     -1.73     -1.93     -2.53     -3.72     -4.69     -5.65
    176.17       .06      1.17      1.59      1.31      -.02      -.72     -1.30     -1.73     -1.93     -2.53     -3.72     -4.69     -5.63
    176.25      -.18       .93      1.17      1.01      -.07      -.72     -1.30     -1.73     -1.92     -2.50     -3.71     -4.69     -5.60
    176.33      3.38      4.07      1.68       .88      -.07      -.72     -1.28     -1.69     -1.92     -2.48     -3.67     -4.67     -5.60
    176.42      5.62      6.06      2.60      1.04      -.07      -.72     -1.26     -1.69     -1.93     -2.49     -3.67     -4.65     -5.61
    176.50      6.76      6.65      3.10      1.27      -.08      -.73     -1.27     -1.68     -1.93     -2.49     -3.68     -4.63     -5.59
    176.58     10.59     11.34      4.98      1.86      -.03      -.69     -1.27     -1.66     -1.92     -2.46     -3.64     -4.62     -5.57
    176.67      9.53      9.83      5.24      2.35       .05      -.66     -1.28     -1.65     -1.91     -2.45     -3.65     -4.60     -5.58
    176.75      7.52      8.19      4.80      2.53       .11      -.66     -1.24     -1.63     -1.91     -2.43     -3.65     -4.58     -5.58
    176.83      3.90      4.82      3.68      2.34       .14      -.66     -1.27     -1.65     -1.90     -2.44     -3.65     -4.58     -5.58
    176.92      1.91      2.71      2.73      2.04       .12      -.65     -1.25     -1.64     -1.90     -2.41     -3.64     -4.57     -5.57
    177.00       .32      1.18      1.84      1.62       .09      -.68     -1.24     -1.61     -1.89     -2.41     -3.59     -4.56     -5.56
    177.08      -.49       .34      1.17      1.21       .04      -.66     -1.22     -1.61     -1.89     -2.40     -3.59     -4.56     -5.56
    177.17      -.77      -.09       .68       .86      -.01      -.66     -1.23     -1.61     -1.88     -2.40     -3.59     -4.56     -5.53
    177.25       .16       .46       .53       .61      -.07      -.64     -1.21     -1.61     -1.88     -2.40     -3.59     -4.55     -5.51
    177.33      1.48      1.45       .74       .49      -.09      -.64     -1.21     -1.61     -1.84     -2.40     -3.59     -4.55     -5.51
    177.42      2.57      2.65      1.13       .53      -.11      -.64     -1.22     -1.61     -1.85     -2.40     -3.59     -4.56     -5.51
    177.50      4.99      5.82      2.38       .80      -.07      -.64     -1.20     -1.57     -1.85     -2.39     -3.55     -4.54     -5.50
    177.58      9.46      8.66      3.67      1.27      -.06      -.65     -1.19     -1.58     -1.84     -2.37     -3.56     -4.53     -5.48
    177.67     13.54     11.04      4.76      1.85       .02      -.64     -1.16     -1.59     -1.83     -2.38     -3.57     -4.54     -5.47
    177.75      8.87      8.96      4.82      2.26       .11      -.63     -1.16     -1.59     -1.79     -2.39     -3.55     -4.52     -5.45
