thaw_depth,pf_observed,pf_depth,date,org_thick,obs_limit,site_id,lat,lon,source,method
40.8,1,40.8,2017-08-17,45.0,,I41,68.363598,-133.70043,Zhang_2019,tp
36.6,1,36.6,2017-08-17,37.0,,I42,68.363181,-133.70077,Zhang_2019,tp
34.75,1,34.75,2017-08-17,37.0,,I43,68.363265,-133.70114,Zhang_2019,tp
38.3,1,38.3,2017-08-17,41.0,,I44,68.36318,-133.69961,Zhang_2019,tp
,0,,2017-08-16,0.0,100.0,I45,68.39317,-133.76483,Zhang_2019,tp
,0,,2017-08-15,0.0,100.0,I46,68.393841,-133.76622,Zhang_2019,tp
,0,,2017-08-15,0.0,100.0,I47,68.39377,-133.76586,Zhang_2019,tp
44.5,1,44.5,2017-08-15,8.0,,I48,68.353898,-133.67511,Zhang_2019,tp
47.5,1,47.5,2017-08-18,17.0,,I49,68.354087,-133.67557,Zhang_2019,tp
35.25,1,35.25,2017-08-18,32.0,,I50,68.354466,-133.67599,Zhang_2019,tp
53.0,1,53.0,2017-08-18,55.0,,I52,68.355137,-133.67626,Zhang_2019,tp
45.5,1,45.5,2017-08-18,3.0,,I53,68.35339,-133.67575,Zhang_2019,tp
,0,,2017-08-18,13.0,100.0,I54,68.353267,-133.67664,Zhang_2019,tp
36.25,1,36.25,2017-08-16,32.0,,I55,68.367656,-133.72043,Zhang_2019,tp
50.5,1,50.5,2017-08-16,15.0,,I56,68.370204,-133.71907,Zhang_2019,tp
48.0,1,48.0,2017-08-20,69.0,,T1,69.417178,-133.02606,Zhang_2019,tp
39.2,1,39.2,2017-08-20,25.0,,T2,69.417516,-133.02638,Zhang_2019,tp
80.0,1,80.0,2017-08-20,8.0,,T3,69.417383,-133.0274,Zhang_2019,tp
81.0,1,81.0,2017-08-20,3.0,,T4,69.417335,-133.02708,Zhang_2019,tp
,0,,2017-08-20,0.0,100.0,T5,69.430643,-132.99825,Zhang_2019,tp
37.8,1,37.8,2017-08-20,27.0,,T6,69.431564,-132.99962,Zhang_2019,tp
37.0,1,37.0,2017-08-20,26.0,,T7,69.387158,-133.02399,Zhang_2019,tp
42.3,1,42.3,2017-08-20,17.0,,T8,69.38676,-133.02354,Zhang_2019,tp
47.3,1,47.3,2017-08-20,23.0,,T9,69.386868,-133.02283,Zhang_2019,tp
39.3,1,39.3,2017-08-20,18.0,,T10,69.386207,-133.02245,Zhang_2019,tp
48.8,1,48.8,2017-08-20,20.0,,T11,69.386135,-133.02115,Zhang_2019,tp
68.7,1,68.7,2017-08-20,6.0,,T12,69.386222,-133.02006,Zhang_2019,tp
42.0,1,42.0,2017-08-20,25.0,,T13,69.386076,-133.01884,Zhang_2019,tp
42.0,1,42.0,2017-08-20,18.0,,T14,69.388552,-133.02046,Zhang_2019,tp
40.4,1,40.4,2017-08-20,47.0,,T15,69.368028,-133.04116,Zhang_2019,tp
45.0,1,45.0,2017-08-20,42.0,,T16,69.367578,-133.03901,Zhang_2019,tp
38.3,1,38.3,2017-08-20,45.0,,T17,69.366063,-133.03519,Zhang_2019,tp
47.5,1,47.5,2017-08-20,8.0,,T18,69.365939,-133.03606,Zhang_2019,tp
56.3,1,56.3,2017-08-20,3.0,,T19,69.365823,-133.03635,Zhang_2019,tp
69.3,1,69.3,2017-08-20,4.0,,T20,69.365693,-133.03655,Zhang_2019,tp
72.75,1,72.75,2017-08-21,0.0,,T21,69.397133,-133.03263,Zhang_2019,tp
53.4,1,53.4,2017-08-21,59.0,,T22,69.397125,-133.03288,Zhang_2019,tp
60.7,1,60.7,2017-08-21,69.0,,T23,69.397122,-133.03312,Zhang_2019,tp
70.0,1,70.0,2017-08-21,15.0,,T24,69.397215,-133.03161,Zhang_2019,tp
74.7,1,74.7,2017-08-21,12.0,,T25,69.397222,-133.03135,Zhang_2019,tp
87.5,1,87.5,2017-08-21,0.0,,T26,69.37159,-133.04358,Zhang_2019,tp
44.4,1,44.4,2017-08-21,8.0,,T27,69.373315,-133.04337,Zhang_2019,tp
98.0,1,98.0,2017-08-21,7.0,,T28,69.373746,-133.04175,Zhang_2019,tp
81.33,1,81.33,2017-08-21,2.0,,T29,69.37382,-133.04204,Zhang_2019,tp
38.5,1,38.5,2017-08-21,42.0,,T30,69.373332,-133.04311,Zhang_2019,tp
51.0,1,51.0,2017-08-19,12.7,,T31,69.282861,-132.90927,Zhang_2019,tp
56.0,1,56.0,2017-08-19,5.0,,T32,69.28241,-132.91179,Zhang_2019,tp
40.0,1,40.0,2017-08-19,43.0,,T33,69.282067,-132.91242,Zhang_2019,tp
35.0,1,35.0,2017-08-19,39.0,,T34,69.290611,-132.92141,Zhang_2019,tp
57.2,1,57.2,2017-08-19,3.0,,T35,69.291188,-132.92163,Zhang_2019,tp
83.0,1,83.0,2017-08-19,0.0,,T36,69.29147,-132.92206,Zhang_2019,tp
67.25,1,67.25,2017-08-19,5.0,,T37,69.296256,-132.94423,Zhang_2019,tp
51.7,1,51.7,2017-08-19,15.0,,T38,69.296254,-132.9441,Zhang_2019,tp
48.8,1,48.8,2017-08-19,23.0,,T39,69.29626,-132.94388,Zhang_2019,tp
67.3,1,67.3,2017-08-19,21.0,,T40,69.296292,-132.9421,Zhang_2019,tp
37.7,1,37.7,2017-08-19,29.3,,T41,69.304085,-132.96697,Zhang_2019,tp
46.5,1,46.5,2017-08-22,51.0,,T42,69.319371,-133.01217,Zhang_2019,tp
56.3,1,56.3,2017-08-22,16.0,,T43,69.319974,-133.01202,Zhang_2019,tp
65.3,1,65.3,2017-08-22,8.0,,T44,69.320285,-133.0127,Zhang_2019,tp
43.6,1,43.6,2017-08-21,55.0,,T45,69.356956,-133.03587,Zhang_2019,tp
42.7,1,42.7,2017-08-21,48.0,,T46,69.356957,-133.03574,Zhang_2019,tp
81.7,1,81.7,2017-08-21,25.0,,T47,69.357525,-133.03357,Zhang_2019,tp
46.2,1,46.2,2017-08-22,45.0,,T48,69.350775,-133.0346,Zhang_2019,tp
40.8,1,40.8,2017-08-22,36.0,,T49,69.349265,-133.0371,Zhang_2019,tp
44.4,1,44.4,2017-08-22,9.0,,T50,69.349313,-133.0393,Zhang_2019,tp
48.2,1,48.2,2017-08-22,7.5,,T51,69.32375,-133.02832,Zhang_2019,tp
31.7,1,31.7,2017-08-22,30.0,,T52,69.309959,-132.99436,Zhang_2019,tp
48.7,1,48.7,2017-08-22,10.0,,T53,69.311748,-132.99887,Zhang_2019,tp
45.4,1,45.4,2017-08-22,23.0,,T54,69.339985,-133.02805,Zhang_2019,tp
