lon,lat,pf_depth,pf_observed,obs_limit,site_id,thaw_depth,year,month,day,date,method,source,comments
149.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
150.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
150.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
151.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
151.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
152.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
152.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
153.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
153.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
154.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
154.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
155.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
155.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
156.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
156.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
157.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
157.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
158.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
158.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
159.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
159.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
160.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
160.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
161.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
161.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
162.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
162.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
163.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
105.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
106.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
106.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
107.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
107.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
108.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
108.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
109.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
109.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
110.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
110.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
111.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
111.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
112.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
112.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
113.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
113.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
114.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
114.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
115.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
115.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
116.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
116.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
117.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
117.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
