site_id,pf_observed,pf_depth,org_thick,org_thick_lower_bound,Canopy and Surface,Burn Year,Relief,Soil Type,lat,lon,source,thaw_depth,obs_limit,date,method,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_obs_limit_assumed,quality_flag_model_or_estimate,quality_flag_method_approximate_or_unknown,quality_flag_upper_bound_presence
71,0,,23,False,"Spruce, birch; hummocky sphagnum and moss, lab tea, horsetails, peat plateau ",2012,Low,"Clay, Silt",59.38885,-117.30077,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
72,1,116.0,50,True,"Spruce, birch; hummocky sphagnum, lab tea",2012,Low,,59.37919,-117.30682,Holloway_2019,116.0,,2018-08-15,tp,True,True,False,False,,False
73,1,126.0,80,True,"Spruce; hummocky sphagnum, lab tea",2012,Low,"Organic, silt, clay",59.29908,-117.37759,Holloway_2019,126.0,,2018-08-15,tp,True,True,False,False,,False
74,0,,25,False,Grass,,Low,"Clay, sand, gravel",59.20103,-117.53072,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
75,1,65.0,50,True,"Spruce; sphagnum, moss",,Low,"Silt, sand, gravel",59.19257,-117.54987,Holloway_2019,65.0,,2018-08-15,tp,True,True,False,False,,False
76,1,58.0,70,False,"Spruce; hummocky moss, lichen, lab tea",,Low,"Clay, silt",59.15883,-117.64358,Holloway_2019,58.0,,2018-08-15,tp,True,True,False,False,,False
78,1,72.0,80,False,"Spruce, tamarack; hummocky sphagnum, lab tea",,Low,"Silt, clay, sand",59.10526,-117.67385,Holloway_2019,72.0,,2018-08-15,tp,True,True,False,False,,False
80,0,,0,False,Poplar; moss. Possibly disturbed,,Sloping,Gravel,59.00904,-117.66958,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
81,0,,,False,"Poplar, jack pine, spruce",,Low,Gravel,58.97108,-117.61462,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
82,0,,80,True,"Spruce; sphagnum, lichen, lab tea, cranberry, wet",,Sloping,"Clay, silt, gravel",58.92592,-117.54022,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
83,1,194.0,80,True,"Spruce, tamarack; sphagnum, sedge, lab tea, cranberry, cloudberry",,Low,Gravel,58.79031,-117.39533,Holloway_2019,194.0,,2018-08-15,temp,True,True,False,True,,False
85,0,,80,True,"Spruce; hummocky sphagnum, lichen, lab tea",,Low,"Sand, organics",58.00439,-117.19946,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
86,0,,,False,"Spruce; sphagnum, lichen, lab tea",,Low,,57.78964,-117.66701,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
88,0,,2,False,Poplar,,Low,"Organic, silt, clay",57.78733,-117.71267,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
1,0,,,False,"Jack pine, poplar, spruce",,High,,60.82131,-115.79008,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
2,0,,,False,"Jack pine, poplar, spruce",,High,,60.81249,-115.79851,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
3,1,84.0,91,False,Spruce; sphagnum,1971,Low,"Clay, silt, with some stones",60.75907,-115.8616,Holloway_2019,84.0,,1962-09-15,tp,True,,False,,True,False
4,0,,,False,"Poplar, jack pine, spruce",,High,Sand and gravel,60.71378,-115.8896,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
