site_ID,lon_gpr,lat_gpr,alt_gpr,unc_alt_gpr
BS,-156.553754,71.256129,0.437269,0.060732
BS,-156.553753,71.256127,0.442667,0.061482
BS,-156.553754,71.256125,0.437269,0.060732
BS,-156.553755,71.256123,0.43457,0.060357
BS,-156.553754,71.256121,0.426472,0.059232
BS,-156.553754,71.256119,0.437269,0.060732
BS,-156.553753,71.256117,0.43457,0.060357
BS,-156.553753,71.256115,0.43187,0.059982
BS,-156.553753,71.256113,0.43457,0.060357
BS,-156.553752,71.256112,0.426472,0.059232
BS,-156.553752,71.25611,0.410277,0.056983
BS,-156.553753,71.256107,0.426472,0.059232
BS,-156.553753,71.256105,0.423773,0.058857
BS,-156.553755,71.256102,0.429171,0.059607
BS,-156.553757,71.2561,0.426472,0.059232
BS,-156.553757,71.256098,0.423773,0.058857
BS,-156.553758,71.256097,0.429171,0.059607
BS,-156.55376,71.256097,0.423773,0.058857
BS,-156.553761,71.256095,0.418374,0.058108
BS,-156.553763,71.256094,0.418374,0.058108
BS,-156.553764,71.256093,0.418374,0.058108
BS,-156.553765,71.256092,0.423773,0.058857
BS,-156.553766,71.256089,0.421074,0.058482
BS,-156.553767,71.256086,0.429171,0.059607
BS,-156.553768,71.256083,0.423773,0.058857
BS,-156.553769,71.256082,0.423773,0.058857
BS,-156.55377,71.25608,0.421074,0.058482
BS,-156.553771,71.256078,0.418374,0.058108
BS,-156.553772,71.256077,0.429171,0.059607
BS,-156.553773,71.256075,0.429171,0.059607
BS,-156.553774,71.256074,0.429171,0.059607
BS,-156.553775,71.256073,0.418374,0.058108
BS,-156.553776,71.256071,0.415675,0.057733
BS,-156.553777,71.25607,0.412976,0.057358
BS,-156.553778,71.256068,0.415675,0.057733
BS,-156.553779,71.256066,0.410277,0.056983
BS,-156.55378,71.256063,0.407578,0.056608
BS,-156.553781,71.256062,0.394082,0.054734
BS,-156.553782,71.25606,0.394082,0.054734
BS,-156.553787,71.256057,0.396781,0.055108
BS,-156.553788,71.256055,0.396781,0.055108
BS,-156.553789,71.256054,0.404878,0.056233
BS,-156.55379,71.256053,0.39948,0.055483
BS,-156.553792,71.256052,0.402179,0.055858
BS,-156.553793,71.25605,0.402179,0.055858
BS,-156.553794,71.256049,0.410277,0.056983
BS,-156.553795,71.256048,0.412976,0.057358
BS,-156.553797,71.256047,0.412976,0.057358
BS,-156.553798,71.256043,0.412976,0.057358
BS,-156.553798,71.256042,0.412976,0.057358
BS,-156.553798,71.25604,0.407578,0.056608
BS,-156.553799,71.256039,0.402179,0.055858
BS,-156.5538,71.256038,0.396781,0.055108
BS,-156.553801,71.256038,0.402179,0.055858
BS,-156.553802,71.256037,0.394082,0.054734
BS,-156.553802,71.256035,0.394082,0.054734
BS,-156.553803,71.256033,0.39948,0.055483
BS,-156.553807,71.25603,0.388683,0.053984
BS,-156.553808,71.256028,0.394082,0.054734
BS,-156.55381,71.256027,0.396781,0.055108
BS,-156.553811,71.256026,0.402179,0.055858
BS,-156.553812,71.256024,0.412976,0.057358
BS,-156.553813,71.256023,0.412976,0.057358
BS,-156.553814,71.256021,0.404878,0.056233
BS,-156.553814,71.256019,0.412976,0.057358
BS,-156.553815,71.256017,0.410277,0.056983
BS,-156.553818,71.256013,0.404878,0.056233
BS,-156.55382,71.256012,0.410277,0.056983
BS,-156.553821,71.256011,0.418374,0.058108
BS,-156.553822,71.25601,0.423773,0.058857
BS,-156.553823,71.256008,0.43457,0.060357
BS,-156.553823,71.256007,0.43187,0.059982
BS,-156.553823,71.256005,0.43457,0.060357
BS,-156.553823,71.256003,0.43187,0.059982
BS,-156.553822,71.256001,0.43457,0.060357
BS,-156.553822,71.255999,0.43187,0.059982
BS,-156.553822,71.255997,0.43457,0.060357
BS,-156.553821,71.255994,0.43457,0.060357
BS,-156.553821,71.255992,0.43457,0.060357
BS,-156.55382,71.25599,0.439968,0.061107
BS,-156.55382,71.255988,0.437269,0.060732
BS,-156.55382,71.255987,0.429171,0.059607
BS,-156.55382,71.255985,0.426472,0.059232
BS,-156.553822,71.255982,0.426472,0.059232
BS,-156.553822,71.25598,0.43457,0.060357
BS,-156.553822,71.255978,0.429171,0.059607
BS,-156.553823,71.255977,0.429171,0.059607
BS,-156.553823,71.255975,0.415675,0.057733
BS,-156.553823,71.255973,0.421074,0.058482
BS,-156.553824,71.255971,0.423773,0.058857
BS,-156.553824,71.255968,0.43187,0.059982
BS,-156.553825,71.255965,0.423773,0.058857
BS,-156.553827,71.255962,0.423773,0.058857
