Site	date	Probe	thaw	probe code
	collected	number	depth (cm)	"(I,R,O)"
TKN0032	9/17/2001	10	66	I
TKN0033	9/17/2001	1	63	I
TKN0033	9/17/2001	2	60	I
TKN0033	9/17/2001	3	67	I
TKN0033	9/17/2001	4	59	I
TKN0033	9/17/2001	5	56	I
TKN0033	9/17/2001	6	48	I
TKN0033	9/17/2001	7	46	I
TKN0033	9/17/2001	8	47	I
TKN0033	9/17/2001	9	50	I
TKN0033	9/17/2001	10	50	I
TKN0034	9/17/2001	1	45	I
TKN0034	9/17/2001	2	44	I
TKN0034	9/17/2001	3	46	I
TKN0034	9/17/2001	4	38	I
TKN0034	9/17/2001	5	44	I
TKN0034	9/17/2001	6	47	I
TKN0034	9/17/2001	7	42	I
TKN0034	9/17/2001	8	41	I
TKN0034	9/17/2001	9	42	I
TKN0034	9/17/2001	10	50	I
TKN0035	10/6/2000	1	50	R
TKN0035	10/6/2000	2	60	I
TKN0035	10/6/2000	3	60	I
TKN0035	10/6/2000	4	55	I
TKN0035	10/6/2000	5	60	I
TKN0035	10/6/2000	6	50	R
TKN0035	10/6/2000	7	65	R
TKN0035	10/6/2000	8	60	I
TKN0035	10/6/2000	9	30	R
TKN0035	10/6/2000	10	60	I
TKN0036	10/6/2000	1	30	R
TKN0036	10/6/2000	2	30	R
TKN0036	10/6/2000	3	85	I
TKN0036	10/6/2000	4	55	I
TKN0036	10/6/2000	5	10	R
TKN0036	10/6/2000	6	50	R
TKN0036	10/6/2000	7	55	R
TKN0036	10/6/2000	8	50	R
TKN0036	10/6/2000	9	65	I
TKN0036	10/6/2000	10	55	I
TKN0037	10/6/2000	1	50	R
TKN0037	10/6/2000	2	40	R
TKN0037	10/6/2000	3	15	R
TKN0037	10/6/2000	4	60	I
TKN0037	10/6/2000	5	25	R
TKN0037	10/6/2000	6	50	R
TKN0037	10/6/2000	7	55	I
TKN0037	10/6/2000	8	20	R
TKN0037	10/6/2000	9	40	I
TKN0037	10/6/2000	10	40	I
TKN0038	10/6/2000	1	45	R
TKN0038	10/6/2000	2	50	I
TKN0038	10/6/2000	3	35	R
TKN0038	10/6/2000	4	55	R
TKN0038	10/6/2000	5	60	I
TKN0038	10/6/2000	6	55	R
TKN0038	10/6/2000	7	50	R
TKN0038	10/6/2000	8	40	R
TKN0038	10/6/2000	9	30	R
TKN0038	10/6/2000	10	45	R
TKN0039	10/6/2000	1	62	I
TKN0039	10/6/2000	2	45	I
TKN0039	10/6/2000	3	71	I
TKN0039	10/6/2000	4	47	I
TKN0039	10/6/2000	5	64	I
TKN0039	10/6/2000	6	60	I
TKN0039	10/6/2000	7	67	I
TKN0039	10/6/2000	8	58	I
TKN0039	10/6/2000	9	62	I
TKN0039	10/6/2000	10	58	I
TKN0040	10/6/2000	1	70	I
TKN0040	10/6/2000	2	66	I
TKN0040	10/6/2000	3	80	I
TKN0040	10/6/2000	4	92	I
TKN0040	10/6/2000	5	66	I
TKN0040	10/6/2000	6	81	I
TKN0040	10/6/2000	7	71	I
TKN0040	10/6/2000	8	66	I
TKN0040	10/6/2000	9	60	I
TKN0040	10/6/2000	10	55	I
TKN0041	9/13/2002	1	130	O
TKN0041	9/13/2002	2	114	R
TKN0041	9/13/2002	3	130	O
TKN0041	9/13/2002	4	119	R
TKN0041	9/13/2002	5	118	R
TKN0041	9/13/2002	6	119	R
TKN0041	9/13/2002	7	79	R
TKN0041	9/13/2002	8	119	R
TKN0041	9/13/2002	9	130	O
TKN0041	9/13/2002	10	103	R
TKN0042	9/13/2002	1	66	R
TKN0042	9/13/2002	2	42	R
TKN0042	9/13/2002	3	93	R
TKN0042	9/13/2002	4	84	R
TKN0042	9/13/2002	5	78	R
TKN0042	9/13/2002	6	42	R
TKN0042	9/13/2002	7	86	R
TKN0042	9/13/2002	8	60	R
TKN0042	9/13/2002	9	77	R
TKN0042	9/13/2002	10	90	R
TKN0043	9/13/2002	1	54	R
TKN0043	9/13/2002	2	70	R
TKN0043	9/13/2002	3	53	R
TKN0043	9/13/2002	4	61	R
TKN0043	9/13/2002	5	37	R
TKN0043	9/13/2002	6	70	R
TKN0043	9/13/2002	7	30	R
TKN0043	9/13/2002	8	30	R
TKN0043	9/13/2002	9	46	R
TKN0043	9/13/2002	10	79	R
TKN0051	9/14/2000	1	48	I
TKN0051	9/14/2000	2	56	I
TKN0051	9/14/2000	3	78	I
TKN0051	9/14/2000	4	62	I
TKN0051	9/14/2000	5	74	I
TKN0051	9/14/2000	6	74	I
TKN0051	9/14/2000	7	74	I
TKN0051	9/14/2000	8	62	I
