site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,obs_limit,method,source
TKN0021,9/22/2000,64.70286268,-148.29477353,49.7,1,49.7,130.0,tp,Hollingsworth_2005
TKN0022,9/21/2000,64.996103954,-147.65549098,72.0,1,72.0,130.0,tp,Hollingsworth_2005
TKN0023,10/13/2000,64.996703925,-147.65749106,66.5,1,66.5,130.0,tp,Hollingsworth_2005
TKN0024,10/13/2000,64.998087242,-147.65917452,42.22222222222222,1,42.22222222222222,130.0,tp,Hollingsworth_2005
TKN0025,10/13/2000,64.999403762,-147.66852473,43.888888888888886,1,43.888888888888886,130.0,tp,Hollingsworth_2005
TKN0026,10/13/2000,64.999153722,-147.67105811,47.0,1,47.0,130.0,tp,Hollingsworth_2005
TKN0027,10/13/2000,64.997178638,-147.67878625,32.857142857142854,1,32.857142857142854,130.0,tp,Hollingsworth_2005
TKN0028,10/13/2000,64.996128981,-147.68097895,46.875,1,46.875,130.0,tp,Hollingsworth_2005
TKN0029,10/13/2000,64.99427619,-147.68456457,70.71428571428571,1,70.71428571428571,130.0,tp,Hollingsworth_2005
TKN0030,9/21/2000,64.995889732,-147.68859417,51.0,1,51.0,130.0,tp,Hollingsworth_2005
TKN0031,9/17/2001,64.61016356,-147.05407546,49.3,1,49.3,130.0,tp,Hollingsworth_2005
TKN0032,9/17/2001,64.313151166,-146.6890373,55.8,1,55.8,130.0,tp,Hollingsworth_2005
TKN0033,9/17/2001,64.318484031,-146.73012166,54.6,1,54.6,130.0,tp,Hollingsworth_2005
TKN0034,9/17/2001,64.328300562,-146.74505608,43.9,1,43.9,130.0,tp,Hollingsworth_2005
TKN0035,10/6/2000,64.918500864,-147.73003878,59.166666666666664,1,59.166666666666664,130.0,tp,Hollingsworth_2005
TKN0036,10/6/2000,64.918882668,-147.72993372,,0,,130.0,tp,Hollingsworth_2005
TKN0037,10/6/2000,64.920119733,-147.72935795,,0,,130.0,tp,Hollingsworth_2005
TKN0038,10/6/2000,64.921410111,-147.72805798,,0,,130.0,tp,Hollingsworth_2005
TKN0039,10/6/2000,64.909605007,-147.82423332,59.4,1,59.4,130.0,tp,Hollingsworth_2005
TKN0040,10/6/2000,64.914416464,-147.83222833,70.7,1,70.7,130.0,tp,Hollingsworth_2005
TKN0041,9/13/2002,64.938607485,-148.25879056,,0,,130.0,tp,Hollingsworth_2005
TKN0042,9/13/2002,64.939341046,-148.25568039,,0,,130.0,tp,Hollingsworth_2005
TKN0043,9/13/2002,64.940478469,-148.25302408,,0,,130.0,tp,Hollingsworth_2005
TKN0051,9/14/2000,64.865449031,-147.87610399,64.5,1,64.5,130.0,tp,Hollingsworth_2005
