site,sample_date,latitude,longitude,transect,measurement_traverse,measurement_order,measurement_purpose,alt,alt_fl
SGW,2018-08-22,69.479578,-148.56443,NW-SE,NW to SE,8,soil pit focus,54,NA
SGW,2018-08-22,69.479578,-148.56443,NW-SE,NW to SE,9,soil pit focus,45,NA
SGW,2018-08-22,69.479578,-148.56443,NW-SE,NW to SE,10,soil pit focus,42,NA
SGW,2018-08-22,69.479578,-148.56443,NW-SE,NW to SE,11,soil pit focus,34,NA
SGW,2018-08-22,69.479578,-148.56443,NW-SE,NW to SE,12,soil pit focus,46,NA
SGW,2018-08-22,69.479578,-148.56443,NW-SE,NW to SE,13,soil pit focus,55,NA
SGW,2018-08-22,69.479578,-148.56443,NE-SW,NE to SW,1,soil pit focus,69,NA
SGW,2018-08-22,69.479578,-148.56443,NE-SW,NE to SW,2,soil pit focus,73,NA
SGW,2018-08-22,69.479578,-148.56443,NE-SW,NE to SW,3,soil pit focus,66,NA
SGW,2018-08-22,69.479578,-148.56443,NE-SW,NE to SW,4,soil pit focus,46,NA
SGW,2018-08-22,69.479578,-148.56443,NE-SW,NE to SW,5,soil pit focus,45,NA
SGW,2018-08-22,69.479578,-148.56443,NE-SW,NE to SW,6,soil pit focus,50,NA
SGW,2018-08-22,69.479578,-148.56443,NE-SW,NE to SW,7,soil pit focus,42,Soil pit SGW-2
SGW,2018-08-22,69.479578,-148.56443,NE-SW,NE to SW,8,soil pit focus,77,NA
SGW,2018-08-22,69.479578,-148.56443,NE-SW,NE to SW,9,soil pit focus,80,NA
SGW,2018-08-22,69.479578,-148.56443,NE-SW,NE to SW,10,soil pit focus,72,NA
SGW,2018-08-22,69.479578,-148.56443,NE-SW,NE to SW,11,soil pit focus,55,NA
SGW,2018-08-22,69.479578,-148.56443,NE-SW,NE to SW,12,soil pit focus,48,NA
SGW,2018-08-22,69.479578,-148.56443,NE-SW,NE to SW,13,soil pit focus,61,NA
