Site ,Transect,Location,TD,Notes,
8,1,8,37,,
8,1,9,27,,
8,1,10,42,,
8,1,11,24,,
8,1,12,42,,
8,1,13,32,,
8,1,14,24,,
8,1,15,23,,
8,1,16,39,,
8,1,17,37,,
8,1,18,40,,
8,1,19,38,,
8,1,20,20,,
8,2,0,30,,
8,2,1,17,,
8,2,2,20,,
8,2,3,32,,
8,2,4,24,,
8,2,5,26,,
8,2,6,34,,
8,2,7,30,,
8,2,8,33,,
8,2,9,32,,
8,2,10,25,,
8,2,11,29,,
8,2,12,27,,
8,2,13,30,,
8,2,14,25,,
8,2,15,39,,
8,2,16,22,,
8,2,17,17,,
8,2,18,21,,
8,2,19,38,,
8,2,20,25,,
8,3,0,34,,
8,3,1,34,,
8,3,2,42,,
8,3,3,39,,
8,3,4,20,,
8,3,5,35,,
8,3,6,40,,
8,3,7,37,,
8,3,8,30,,
8,3,9,42,,
8,3,10,38,,
8,3,11,22,,
8,3,12,47,,
8,3,13,33,,
8,3,14,33,,
8,3,15,35,,
8,3,16,34,,
8,3,17,26,,
8,3,18,35,,
8,3,19,20,,
8,3,20,24,,
9,1,0,28,,
9,1,1,21,,
9,1,2,31,,
9,1,3,38,,
9,1,4,38,,
9,1,5,30,,
9,1,6,29,,
9,1,7,26,,
9,1,8,26,,
9,1,9,45,,
9,1,10,42,,
9,1,11,47,,
9,1,12,42,,
9,1,13,55,,
9,1,14,27,,
9,1,15,40,,
9,1,16,40,,
9,1,17,46,,
9,1,18,49,,
9,1,19,50,,
9,1,20,50,,
9,2,0,39,,
9,2,1,33,,
9,2,2,48,,
9,2,3,51,,
9,2,4,35,,
9,2,5,35,,
9,2,6,35,,
9,2,7,47,,
9,2,8,38,,
9,2,9,24,,
9,2,10,31,,
9,2,11,33,,
9,2,12,35,,
9,2,13,35,,
9,2,14,33,,
9,2,15,41,,
9,2,16,45,,
9,2,17,33,,
9,2,18,42,,
9,2,19,38,,
9,2,20,45,,
9,3,0,31,,
9,3,1,42,,
9,3,2,36,,
9,3,3,31,,
9,3,4,33,,
9,3,5,50,,
9,3,6,33,,
9,3,7,37,,
9,3,8,31,,
9,3,9,44,,
9,3,10,41,,
9,3,11,32,,
9,3,12,52,,
9,3,13,49,,
9,3,14,40,,
9,3,15,54,,
9,3,16,54,,
9,3,17,38,,
9,3,18,40,,
9,3,19,30,,
9,3,20,53,,
10,1,0,20,,
10,1,1,27,,
10,1,2,18,,
10,1,3,29,,
10,1,4,30,,
10,1,5,28,,
10,1,6,29,,
10,1,7,20,,
10,1,8,30,,
10,1,9,33,,
10,1,10,19,,
10,1,11,21,,
10,1,12,32,,
10,1,13,43,,
10,1,14,46,,
10,1,15,40,,
10,1,16,32,,
10,1,17,17,,
10,1,18,31,,
10,1,19,30,,
10,1,20,21,,
10,2,0,18,,
10,2,1,35,,
10,2,2,25,,
10,2,3,24,,
10,2,4,28,,
10,2,5,29,,
10,2,6,26,,
10,2,7,32,,
10,2,8,28,,
10,2,9,40,,
10,2,10,28,,
10,2,11,26,,
10,2,12,17,,
10,2,13,34,,
10,2,14,16,,
10,2,15,35,,
