Site ,Transect,Location,TD,Notes,
18,3,16,34,,
18,3,17,35,,
18,3,18,36,,
18,3,19,36,,
18,3,20,34,,
19,1,0,44,,
19,1,1,56,,
19,1,2,38,,
19,1,3,43,,
19,1,4,37,,
19,1,5,50,,
19,1,6,46,,
19,1,7,44,,
19,1,8,34,,
19,1,9,22,,
19,1,10,60,,
19,1,11,36,,
19,1,12,30,,
19,1,13,26,,
19,1,14,28,,
19,1,15,31,,
19,1,16,60,,
19,1,17,63,,
19,1,18,52,,
19,1,19,44,,
19,1,20,52,,
19,2,0,40,,
19,2,1,31,,
19,2,2,32,,
19,2,3,44,,
19,2,4,43,,
19,2,5,32,,
19,2,6,36,,
19,2,7,50,,
19,2,8,54,,
19,2,9,74,,
19,2,10,74,,
19,2,11,62,,
19,2,12,43,,
19,2,13,40,,
19,2,14,37,,
19,2,15,35,,
19,2,16,37,,
19,2,17,24,,
19,2,18,27,,
19,2,19,27,,
19,2,20,27,,
19,3,0,75,,
19,3,1,70,,
19,3,2,60,,
19,3,3,43,,
19,3,4,44,,
19,3,5,51,,
19,3,6,50,,
19,3,7,40,,
19,3,8,35,,
19,3,9,34,,
19,3,10,67,,
19,3,11,50,,
19,3,12,50,,
19,3,13,45,,
19,3,14,58,,
19,3,15,48,,
19,3,16,24,,
19,3,17,25,,
19,3,18,25,,
19,3,19,35,,
19,3,20,34,,
20,1,0,71,,
20,1,1,65,,
20,1,2,59,,
20,1,3,63,,
20,1,4,60,,
20,1,5,71,,
20,1,6,61,,
20,1,7,78,,
20,1,8,63,,
20,1,9,48,,
20,1,10,54,,
20,1,11,65,,
20,1,12,60,,
20,1,13,56,,
20,1,14,60,,
20,1,15,70,,
20,1,16,72,,
20,1,17,70,,
20,1,18,66,,
20,1,19,58,,
20,1,20,55,,
20,2,0,70,,
20,2,1,80,,
20,2,2,79,,
20,2,3,76,,
20,2,4,80,,
20,2,5,64,,
20,2,6,56,,
20,2,7,66,,
20,2,8,70,,
20,2,9,66,,
20,2,10,74,,
20,2,11,72,,
20,2,12,73,,
20,2,13,72,,
20,2,14,75,,
20,2,15,72,,
20,2,16,68,,
20,2,17,71,,
20,2,18,72,,
20,2,19,72,,
20,2,20,78,,
20,3,0,84,,
20,3,1,69,,
20,3,2,70,,
20,3,3,72,,
20,3,4,61,,
20,3,5,83,,
20,3,6,79,,
20,3,7,71,,
20,3,8,70,,
20,3,9,63,,
20,3,10,74,,
20,3,11,76,,
20,3,12,71,,
20,3,13,74,,
20,3,14,59,,
20,3,15,60,,
20,3,16,58,,
20,3,17,51,,
20,3,18,72,,
20,3,19,68,,
20,3,20,54,,
21,1,0,58,,
21,1,1,36,,
21,1,2,47,,
21,1,3,50,,
21,1,4,47,,
21,1,5,42,,
21,1,6,47,,
21,1,7,40,,
21,1,8,43,,
21,1,9,44,,
21,1,10,43,,
21,1,11,45,,
21,1,12,43,,
21,1,13,35,,
21,1,14,36,,
21,1,15,46,,
21,1,16,47,,
21,1,17,64,,
21,1,18,75,,
21,1,19,46,,
21,1,20,65,,
21,2,0,43,,
21,2,1,43,,
21,2,2,33,,
21,2,3,35,,
21,2,4,40,,
21,2,5,32,,
21,2,6,30,,
21,2,7,30,,
21,2,8,51,,
21,2,9,43,,
21,2,10,32,,
21,2,11,27,,
21,2,12,44,,
21,2,13,22,,
21,2,14,25,,
21,2,15,28,,
21,2,16,30,,
21,2,17,31,,
21,2,18,44,,
21,2,19,50,,
21,2,20,41,,
21,3,0,35,,
21,3,1,34,,
21,3,2,32,,
21,3,3,30,,
21,3,4,3,,
21,3,5,33,,
21,3,6,35,,
21,3,7,34,,
21,3,8,28,,
21,3,9,31,,
21,3,10,31,,
21,3,11,31,,
21,3,12,36,,
21,3,13,42,,
21,3,14,40,,
21,3,15,47,,
21,3,16,46,,
21,3,17,50,,
21,3,18,51,,
21,3,19,51,,
21,3,20,48,,
22,1,0,32,,
22,1,1,42,,
22,1,2,44,,
22,1,3,34,,
22,1,4,30,,
22,1,5,28,,
22,1,6,27,,
22,1,7,36,,
22,1,8,40,,
22,1,9,18,,
22,1,10,40,,
22,1,11,40,,
22,1,12,28,,
22,1,13,32,,
22,1,14,29,,
22,1,15,33,,
22,1,16,40,,
22,1,17,35,,
22,1,18,40,,
22,1,19,31,,
22,1,20,31,,
22,2,0,35,,
22,2,1,34,,
22,2,2,36,,
22,2,3,36,,
22,2,4,38,,
22,2,5,48,,
22,2,6,30,,
22,2,7,36,,
22,2,8,32,,
22,2,9,40,,
22,2,10,41,,
22,2,11,37,,
22,2,12,35,,
22,2,13,45,,
22,2,14,40,,
22,2,15,36,,
22,2,16,35,,
22,2,17,38,,
22,2,18,41,,
22,2,19,39,,
22,2,20,40,,
22,3,0,45,,
22,3,1,45,,
22,3,2,22,,
22,3,3,30,,
22,3,4,41,,
22,3,5,35,,
22,3,6,30,,
22,3,7,46,,
22,3,8,36,,
22,3,9,34,,
22,3,10,35,,
22,3,11,35,,
22,3,12,39,,
22,3,13,36,,
22,3,14,31,,
22,3,15,34,,
22,3,16,38,,
22,3,17,30,,
22,3,18,30,,
22,3,19,43,,
